rows,repetitions,reducers,skew,t_repartition,t_broadcast,t_merge_1_1,t_merge_1_2,t_merge_2_1,t_merge_2_2,t_merge_3,t_merge
3000000,10,0.5,100,56614688454,36550433718,13838745553,12518254767,26495558192,26696123067,156459693321,236008374900
6000000,10,0.5,100,91092041430,49944416986,14637083083,14671474826,28620421716,28511288413,278484159453,364924427491
9000000,10,0.5,100,122923873840,72571501011,15449512955,16615222150,30476835013,30423813848,439563944594,532529328560
12000000,10,0.5,100,149867276035,99812522854,17743027950,17797604914,32762838946,31585557258,596909100124,696798129192
15000000,10,0.5,100,176897652346,114552510802,17419459026,17733201224,32418544453,31569046304,770045675353,869185926360
18000000,10,0.5,100,230038975374,117002049995,15683069994,16907822185,31528374702,31491476857,907712624800,1003323368538
21000000,10,0.5,100,233396441739,126185695266,17720070834,17506142406,32408319894,32627741381,1147104544868,1247366819383
24000000,10,0.5,100,287846097772,157723656022,17738343346,17576179943,31677400952,31500858431,1254428574447,1352921357119
27000000,10,0.5,100,335411926912,186274182215,18522583576,17504047801,32724494235,34834454563,1298735391177,1402320971352
30000000,10,0.5,100,381320350637,206471047957,17646791492,18645454338,33990753605,32472639182,1561766043815,1664521682432
