rows,unique_values,reducers,skew,map_records_1,reduce_records_1,mt_1,mt_med_1,mt_mu_1,mt_max_1,rt_1,rt_med_1,rt_mu_1,rt_max_1,t_repartition,map_records_2,mt_2,mt_med_2,mt_mu_2,mt_max_2,t_broadcast,map_records_3,mt_3,mt_med_3,mt_mu_3,mt_max_3,t_merge_1_1,t_merge_1_2,t_merge_2_1,t_merge_2_2,t_merge,t_sort_merge
6000000,600000,100,0.1,6600000,6000000,7624;6242;4601;5810;6113;5916;8051;7851;7111;6136;9194;7300;7505;7256;7754;5863;9197;6483;8860;6016;9058;7096;9175;6076;8615;8651;9028;4574;7614;9242;8616;8522;5956;6117;6491;4897;6282;3297;6892;4566;8896;6076;9171;4786;5576;5396;6726;6032;7508;9048;8995;6124;7501;6405;9129;6476;9306;7469;8774;6080;8955;5771;9085;5924;8856;8517;8691;8578;7776;8672;6987;7617;5871;6687;6122;6048;7646;7189;8743;8686,7300,7244.2875,9306,7090;6984;6744;6938;7189;4920;6833;7164;4687;6727;6434;6856;6543;4736;6852;6694;6560;7018;6293;4385;6652;4981;5520;6569;4059;7086;7266;6812;7031;7052;4869;6880;6480;6800;7257;7222;7042;4731;6722;4640;6959;7025;6586;6680;4275;6909;4892;6777;6851;6295;6944;7168;6914;6800;4913;6896;7254;7225;6925;6806;7296;4589;6976;4781;6748;6593;6363;7249;3756;6546;4791;7129;7090;6720;6869;6924;7002;7096;4983;6921;4851;6875;7264;4647;7249;6495;4721;7092;4756;7000;7162;6987;6741;7724;4965;6828;4957;7060;7081;4483,6812,6357.72,7724,28543187632,6000000,13105;13454;12615;13152;13306;12606;12817;12908;5811;13067;12938;13316;13178;12972;13025;13171;13277;12970;13001;13438;12929;5902;12756;13283;13182;13057;12795;12992;13329;13422;13057;13312;12997;13105;13218;12547;13380;12971;12792;13222,13057,12709.375,13454,33534025680,6000000,7123;7543;6130;7375;4316;7422;7343;7413;5979;7721;6233;7668;7298;6308;4468;7534;7169;7440;5558;7853;7249;7793;7800;7325;7447;7828;7172;6324;7254;7547;7910;7840;6802;7309;7416;7733;4609;5697;7323;6349;7442;6991;4447;7990;4505;7338;7167;5710;8572;7355;7445;7232;7428;7272;7343;7160;7593;8265;7914;7021;6546;6276;7879;7202;7875;5924;7334;7413;7870;7372;7363;7410;7714;6953;7261;8633;6994;7788;7136;6172;4310;7427;7331;6414;7208;7571;7232;7381;7159;7451;6124;7437;7322;7621;6053;7495;7783;6221;7555;7373,7338,7063.94,8633,15525144935,16476225517,23489313623,27506665764,19017518298,102014868137
6000000,600000,100,0.2,6600000,6000000,9241;9239;6403;6548;9134;9084;6388;7637;5981;8161;7714;6908;6606;3817;7564;8115;7958;4624;7622;5261;6495;6076;6395;6419;9006;5974;9073;4966;9141;5188;9004;5043;8163;6787;5438;6497;5504;5599;7996;5231;8882;7995;9074;9227;7942;6088;9172;6751;7977;6309;9113;6095;6552;3602;5336;7646;7617;5086;7585;6648;6958;5131;7591;5245;7622;4190;5454;6347;6407;5207;9209;5192;8074;5261;5505;6667;8076;6567;8976;4849,6648,6890.3125,9241,5603;5638;7263;7533;7504;8639;6965;8480;5729;7507;3909;7825;8529;7938;8489;7584;8449;6001;8471;7286;7674;7694;7874;7750;7852;7691;5682;5822;7649;5814;3930;7465;8470;5335;5777;4027;7305;8215;7931;8517;7884;8501;7443;8575;7983;5213;7639;7788;7944;7243;7940;5717;5717;7772;5655;4261;7498;8452;7197;5723;7507;8429;7879;8463;7875;8571;7463;8522;5467;7688;7719;8489;7912;7798;7804;5813;5658;7629;5759;4031;5392;8384;7442;5738;7510;8484;7934;8519;7874;8577;7479;8457;7253;7778;7390;5386;8419;7442;7770;7866,7674,7235.31,8639,29553314482,6000000,12719;12509;12121;12128;13212;13097;12573;12286;12508;13371;12607;12937;13534;12034;12782;12653;13245;13004;12927;13239;13462;13140;12894;13052;12868;12647;13215;13203;13143;12958;13194;5747;5770;12759;12838;12614;12873;12782;13220;12605,12873,12511.75,13534,33492511139,6000000,7553;7566;7248;7685;7269;7423;7460;7250;7291;7651;7189;7637;7216;7420;7155;7689;8230;7468;7426;7388;7343;7516;7039;7465;7440;7310;7204;7581;7338;3851;7443;7691;7397;7404;7225;7510;7274;7570;7347;7419;6730;7534;3867;7583;7242;7437;7242;7552;7323;7501;7342;7482;7638;7403;7380;3890;8344;7431;7433;7148;8261;7673;7229;7437;6893;7574;6940;7764;7336;7390;7361;7398;7520;7538;8062;7362;4806;7610;7375;7454;7542;7433;3886;7235;7479;7330;7526;7185;7430;7148;7562;7227;8453;7796;7401;8336;7368;7169;7519;7178,7420,7282.69,8453,14500497874,16485268044,23714229315,28650688674,19048596401,102399280308
6000000,600000,100,0.3,6600000,6000000,8958;6393;8927;6207;7139;5347;6504;3186;8242;5711;7868;6350;8792;7351;8943;5899;4400;6190;8506;7083;9111;6949;8978;7396;8062;8665;8585;8462;5985;7251;4968;8343;7374;8456;5969;8680;7515;8104;5735;8885;8644;8032;8847;6239;5048;6129;6851;3233;8819;5969;7260;6190;7974;5496;8460;5043;9000;6929;8839;5702;9010;5478;7201;7013;8531;8475;5945;7902;6380;4338;6551;8035;6192;8041;4699;8037;6571;7205;8577;8120,7260,7155.925,9111,6572;6276;6456;7388;5284;7294;6770;6794;7236;4635;7162;6499;4651;6302;4632;6506;7222;7186;7499;6600;5394;7195;5727;6797;6602;5556;7395;7316;6781;7371;6114;5445;7365;6574;4618;6716;6940;4665;6686;4646;6628;6308;6501;6610;7167;5287;6701;5411;6226;7078;5782;6692;7162;6909;7106;6137;5808;6379;7314;6554;6808;6431;6814;4594;7394;4683;6580;7301;6574;6790;5783;6806;5673;6344;6460;6629;6730;7385;6458;7137;5404;6569;6405;6170;6568;6373;6285;4669;7114;4618;7485;6682;7047;6709;5230;6906;5361;7392;7303;6795,6600,6410.86,7499,28387557862,6000000,5833;13100;13140;12844;12686;13110;12439;13026;12631;12919;12349;12470;13166;13537;13146;13044;12713;12687;13043;12837;12913;12900;12730;12765;12543;12679;13403;13291;13516;12681;13219;5949;13128;12860;13151;13339;13129;13232;13130;12792,12919,12601.75,13537,34652529634,6000000,7889;7043;7525;6725;7536;7267;7338;7292;7650;7525;7630;3708;7495;7160;7596;7346;7295;3816;7744;6990;7602;7172;3851;7614;7442;7283;7500;3610;7512;6885;7578;7142;7523;7193;7541;7482;7734;7546;7281;7233;7635;3727;7225;7325;7588;7449;7611;7419;7423;7476;7415;6525;7248;7202;7051;7499;7452;7305;7734;7287;7789;7204;7623;7210;7623;7292;7548;7435;7542;7320;7475;7648;7550;7479;7677;7517;7408;7572;7019;7290;6962;7502;6551;7594;7473;7758;7339;7470;7377;7685;7206;7416;7463;7729;7326;7251;7281;7412;7521;7262,7435,7216.89,7889,15574969794,17721758439,24603312570,28642972224,20146162178,106689175205
6000000,600000,100,0.4,6600000,6000000,8574;8823;6051;7806;5836;8156;5603;8302;6698;8192;6129;4751;6341;8321;8101;8169;7836;6206;4646;6412;6694;7177;6804;6158;8910;7150;8675;5972;8181;6032;7469;6644;8946;6170;8227;6009;8238;5074;7947;6089;8539;7702;4682;6074;8676;7158;7828;6065;8982;5911;7471;6615;8927;5923;8125;8829;7192;6066;8864;6588;6880;7056;6638;5980;9043;5143;7419;6212;8912;6039;7948;6147;7784;5691;4724;5930;7170;6226;8899;5862,7056,7067.9875,9043,6856;6970;6654;6432;3739;6750;6593;6646;6785;6393;6757;6775;6591;6677;6682;6833;6569;6926;6483;6737;7109;6575;6498;6610;7165;6680;7052;7140;6583;6979;3745;6726;6812;6627;6866;3696;6911;6804;6727;7005;6717;6617;6764;6851;6607;6668;7093;6112;7135;6694;7072;6848;6724;6487;6806;3698;6770;6315;6588;6310;3723;6887;6761;6632;6671;6756;6619;6439;6719;6710;6699;7167;6710;7014;6641;6707;6946;6344;6810;7002;3736;6484;6827;6832;6996;6904;6821;6418;6717;6630;7005;6612;6724;6639;6557;6376;7120;6607;7103;6652,6717,6557.51,7167,29614614596,6000000,12921;13177;13049;12715;12904;13099;12855;12436;12649;13074;12761;12554;12715;12134;12565;12648;12629;12871;13165;12857;13322;13055;12768;12547;12775;5911;12800;13042;12897;13009;12899;12926;13106;13071;13352;12788;12685;5824;12841;12703,12855,12502.475,13352,35946121429,6000000,8393;7629;7671;7281;8238;7518;7250;7524;7508;7618;8425;7497;7152;7873;3546;7605;7060;7830;7230;8003;7324;7569;7228;7906;7544;7363;8458;7484;7954;7391;7260;7639;7494;7498;7294;7735;7748;7335;7686;7935;7795;3667;8090;3730;7635;7332;7727;3656;7983;7129;8402;7549;7539;7393;7518;8415;7886;7512;7493;7101;7933;7281;7629;7776;6628;7929;7250;8344;7980;7512;7843;7434;7533;7285;7631;7350;7373;7967;8335;7551;7652;7507;7555;7800;8301;7499;7293;7782;3539;7617;7275;7968;8158;7299;7439;7343;7899;7004;7959;7285,7544,7429.86,8458,15996164842,15695452264,25622079130,29582385613,20247899440,107143981289
6000000,600000,100,0.5,6600000,6000000,8416;6412;8995;6080;6386;6553;6395;7345;8745;6744;8856;6424;8576;5921;7712;6135;8746;6124;7780;5177;8799;6143;8812;6230;8859;6986;6698;7037;6457;6516;8441;6145;8548;4894;4660;7146;8823;8403;7385;4360;7523;6275;8752;6222;6402;6870;7700;6287;7676;6013;8470;7253;9073;7151;7588;6239;8947;6039;8576;4702;7722;6155;8910;6109;4302;8287;3398;7281;6012;6115;7344;7097;8550;5847;8437;7489;8858;8915;7366;8400,7151,7140.2,9073,7159;7125;6965;5296;7012;6667;6763;6659;7050;7027;6859;5157;6837;5372;6766;6944;7229;6794;4807;7085;5017;6606;7206;6858;6980;6535;5262;7027;4984;7082;6658;6602;6671;5233;6713;6687;5258;6722;5277;7220;6644;6569;7117;6796;4947;7121;4939;6726;6941;4988;6627;6401;6994;6957;6805;7097;6694;6914;6885;5222;6719;7093;5388;7021;5409;6967;6761;6663;6546;5000;6838;5001;6727;7191;4907;7200;7096;6688;5269;6798;6614;6553;6629;7189;6967;7077;5016;6614;5343;6847;7229;7013;6952;6933;4953;6793;4956;7132;6753;6755,6755,6451.55,7229,29464398011,6000000,5931;12873;13380;12644;12982;12998;12754;13042;12776;12898;13088;12999;13062;5739;13184;12858;13275;13332;13115;13222;12950;12559;12733;13303;12937;13267;13515;13315;12454;12763;12614;13199;13121;13081;13136;13428;13260;12865;12968;13233,13042,12671.325,13515,34677829402,6000000,7295;7449;7798;8154;7148;7640;7629;7206;7509;7310;8073;7216;7738;7093;8811;7290;3689;7504;7436;7756;7344;3397;7449;7570;7533;7660;6755;7608;7363;7423;7089;7770;7461;7819;7926;8016;7576;7781;7145;7604;7766;7509;7125;7636;7620;7359;7292;3569;7620;7553;7864;6776;7283;7212;7586;7202;7562;7160;7812;7349;7148;7647;7188;7918;7225;6860;6991;7733;7538;7657;7627;6996;7975;7582;6564;7780;7195;3916;7523;7722;7679;8588;7450;7663;7110;7634;7562;7266;7155;7817;8056;7634;3729;7341;7572;7872;7124;7788;8185;7580,7538,7324.78,8811,15893690938,15780663892,24721002573,29928664474,21130337128,107454359005
6000000,600000,100,0.6,6600000,6000000,7488;3899;4939;5560;6192;6209;5404;6119;4276;8764;9082;4342;7726;7742;7677;7620;9186;5727;9267;7067;5740;6357;5825;5827;8959;5618;9089;5721;9167;5558;9157;5834;9233;5862;9005;5828;9305;5826;9056;5777;9154;8768;5591;3240;6436;5769;6665;6636;9080;8914;8858;8933;8933;8922;7668;7410;9215;5670;9146;5727;5693;5850;5828;6080;9240;9270;6406;5938;9029;5653;9033;5674;9206;7011;8846;4915;9048;6433;9089;5573,6665,7144.75,9305,6746;6774;6698;7222;6581;7254;6515;6557;6258;7244;6157;6295;6934;4801;6556;5798;6468;6799;7181;6994;6343;4367;6389;4576;6762;6631;6592;6521;6742;6919;6654;6933;6362;7179;6671;4920;6181;6401;6965;6250;6377;7055;5947;4304;7104;7225;4522;6949;4258;6913;6871;6609;6880;6304;7165;6433;6636;6825;6813;6463;7281;5853;6847;5884;6186;6385;5915;7100;6022;4656;6881;6362;6041;7192;4455;6601;7287;6726;6584;6586;6873;6743;7187;6898;6612;6444;6228;6865;5787;6300;7141;5729;4943;6442;6892;6651;4641;7252;4584;6337,6592,6392.36,7287,30474282414,6000000,12307;12785;10732;7181;12346;13036;11034;12693;11050;11075;11177;10895;12060;12695;7006;10927;10582;12662;7143;10935;12690;12706;7098;10983;12844;13068;12979;10979;12771;12727;12763;10485;11061;10906;12915;11072;12433;13043;6880;7076,11177,11195,13068,32692273428,6000000,7368;6995;7817;7073;7160;7385;7206;7194;7112;7214;7283;7117;7428;6909;7414;7212;7263;7164;7228;7269;7129;6455;3982;7349;7712;7111;7291;7760;6968;7345;7112;7399;7392;7162;7694;7375;7309;6883;7351;6912;7342;6673;7207;7174;7580;7218;7598;6785;7797;7393;7245;7362;7399;7327;7325;7096;3925;7110;7396;7623;7276;7493;6650;7547;6696;7334;6621;6936;7534;7828;7100;7350;6984;7540;7379;7206;7452;7450;7049;7354;7310;7486;7177;7391;7130;6876;3942;7268;7547;7091;7119;7208;7328;4062;7374;4072;7249;7181;7467;7398,7268,7095.32,7828,14775331184,16617288218,24566795652,28785032892,19209374199,103953822145
6000000,600000,100,0.7,6600000,6000000,7567;6238;7444;6308;6306;4726;7370;6292;9208;7703;6644;9186;4491;6544;5539;6323;7104;6361;9327;6086;9130;6136;7468;6712;7814;8032;6460;6488;5985;6397;6589;7015;8731;9167;9225;8337;4208;8824;7989;7928;7593;6076;8333;6109;6557;9294;5234;9240;5021;9334;5870;9082;8240;6329;6289;6562;6095;4724;7382;6242;9282;6250;7758;6429;7432;7492;6480;5524;6868;5509;3267;6211;8830;7350;4552;9154;9211;8182;8096;8074,6868,7086.9875,9334,10074;11836;10199;11793;10139;12685;10189;12748;9633;9992;10310;12656;4238;8008;11926;7305;6771;9847;12823;10038;12030;9959;10160;9957;12691;10329;12699;9771;12731;6331;12004;10364;9608;6889;12020;9891;12719;4087;12704;11922;9926;9439;12425;10032;12642;10008;6597;10133;12008;10189;11985;10371;11973;7723;12772;10285;10074;4016;10029;11891;10241;12254;4223;5936;12585;9456;9873;9866;12724;10097;12750;10013;6245;12741;12735;10319;12803;10113;10089;12527;11993;9874;8119;4127;9520;12162;10222;8103;4111;12723;10132;6482;9603;11578;9945;10088;12041;7232;11901;9225,10139,10133.65,12823,35500072640,6000000,7320;10912;10794;11020;13023;12705;7163;10940;11043;12744;7106;13103;13145;13560;13162;12734;12645;13470;7191;7203;12443;12626;10832;10741;10969;11142;10997;11100;11375;11064;11147;13515;13428;13180;13260;7237;12928;13574;13439;11221,11375,11430.025,13574,34871345618,6000000,6827;7458;3585;7410;6610;7233;6686;7389;7266;7936;7402;7098;6964;7615;6939;7812;7484;7102;6895;3961;7083;7084;7585;6976;7487;7608;6718;8066;6844;7744;6539;7354;7316;7555;6794;7312;7267;7750;7541;7297;6947;7236;3760;7827;7694;3825;6941;7135;7553;7896;7573;7269;7058;7205;7597;7042;7933;7939;7509;7238;7657;6758;7134;7209;7783;3666;7458;6828;7131;7744;7443;7177;7716;7965;6809;7475;7976;7667;8054;7205;6880;7854;6771;7072;7376;7874;7602;7282;6929;7898;7066;7124;6920;7568;8140;7169;7571;6898;7585;7071,7282,7162.74,8140,15627529643,16595192851,25514526094,28488269147,19993848735,106219366470
6000000,600000,100,0.8,6600000,6000000,8102;6928;6359;5157;6134;5759;6155;6186;8653;4689;8220;8509;4443;8234;8187;8186;6029;8183;8450;4787;8345;8395;7064;8697;7554;8085;7358;8013;6189;7929;7354;6603;5917;5578;5746;7540;6364;7208;6538;8520;4215;7743;7385;6109;6315;6626;7046;6556;7285;4426;8157;8374;7076;7896;7797;8259;8548;8294;6407;8648;6008;8757;8445;6255;8097;5679;8043;5996;8433;7169;7858;8130;6300;5565;7454;6416;7083;7089;6351;6520,7208,7089.4625,8757,6937;6909;6911;6781;6857;7012;6865;7207;6911;6952;6459;7230;7208;6682;7336;6859;7205;7500;6684;6986;6743;7258;6928;4145;7010;7171;7072;6928;7252;6700;7001;6526;6817;7088;6829;7001;6974;6896;7050;6499;6757;7062;7267;7198;6706;7454;7244;6987;4130;6772;7152;7180;6930;7066;6979;7112;6974;6954;6893;7146;7157;7278;6926;7109;7223;6565;6837;6737;4171;6719;7065;6828;6945;4108;6814;6708;7188;6708;6873;6397;6439;6873;6846;7328;7082;6836;6933;7049;6921;6712;6883;6850;7165;6826;4117;6778;7408;6830;7057;6674,6928,6813.05,7500,29528994667,6000000,12784;12785;12467;12846;13093;13044;13010;12816;12722;13106;12576;12836;12709;13157;12788;12741;13168;13052;13261;13628;13000;13430;13305;12965;13152;12509;13113;13316;13234;13022;13383;13071;5908;5880;13288;12956;12720;12989;12594;12938,13000,12634.05,13628,34564564105,6000000,7273;7112;7233;7253;4829;6890;7103;7175;7439;7244;7233;7221;7294;7146;7233;7476;7427;7534;7423;7273;7555;7379;7487;7445;7343;7850;4157;7485;7548;7395;7422;7160;6912;7072;7082;7076;6882;7358;7326;7461;7267;7338;7143;7250;7419;7597;7322;7774;7466;7345;7320;7418;7470;4144;7735;7519;7649;7474;7681;4174,7338,7145.18333333333,7850,15650965440,16634793536,22781271546,27772361501,17528527210,100367919233
6000000,600000,100,0.9,6600000,6000000,8197;6364;7986;4902;8250;5522;9204;6529;9226;6207;7332;6418;8133;6988;5970;3065;5781;6293;6799;6435;8298;6659;8052;6242;7861;8728;6205;5596;6249;5943;3091;7130;8993;9105;8967;8883;8962;7136;7260;8651;8273;7910;9813;7271;8012;7142;8003;5905;7608;6937;4348;6063;7423;7455;5910;5702;6170;5858;6471;7058;7649;6312;8057;5887;6592;3878;6000;5790;5997;5970;5767;6503;8793;9036;8992;8990;8776;7945;7126;8639,7126,7070.5375,9813,7575;8089;7505;7872;7504;7514;7550;7731;7453;5475;7284;7698;5394;7520;5413;7268;7526;7397;7383;7623;4689;7445;4717;7625;7631;4570;7864;7533;5385;7632;7660;7554;8220;7603;7480;7387;5241;7733;5416;7573;7582;7316;7344;6542;4723;7595;4727;7587;7756;7562;7519;7931;7657;5438;5292;7502;7234;8619;7261;7391;7304;5395;7426;5364;7477;7569;7239;7486;4764;7578;4755;7709;7214;7545;7425;7948;7626;7712;5200;7697;7571;7665;5207;5331;7352;7612;5484;7682;5334;7533;7692;7478;7435;4093;7594;4388;7667;7546;4509;7667,7504,6935.83,8619,29736843661,6000000,12741;12594;12813;12616;12852;12886;12810;12897;12636;13387;13105;12770;13529;13157;12861;13005;12814;13078;12937;12586;12829;12953;13085;13192;13026;13309;13165;13041;13012;12731;6023;13153;13531;13258;12920;12862;13175;13142;13066;6013,12953,12639,13531,34553844608,6000000,5527;8010;5464;4480;7834;8143;8111;8037;4476;4477;9453;9627;9329;9416;8154;10794;11478;8227;8511;7768;8506;9166;8967;8971;9020,8227,8077.84,11478,15709998310,16593175541,21520226204,27527793911,20206445757,101557639723
6000000,600000,100,1.01,6600000,6000000,8583;8564;3226;4950;6692;6849;6315;5156;7112;8674;8561;8388;8432;8641;8570;7020;4486;6274;7428;6187;7452;5073;7426;6073;7330;5675;8249;7009;8650;8322;6495;6100;7767;6254;6938;5712;7520;7589;8901;6125;8438;3835;6348;6135;6514;4587;2986;5597;8686;8525;8687;8568;7144;8440;8460;7067;7256;5430;8623;6006;8740;6294;7205;7525;8326;6457;7290;6356;8540;8193;6349;6224;5954;5881;7304;6509;8856;6344;8759;6147,7112,7016.9125,8901,6581;6676;6361;6628;6616;6733;6538;6742;6662;6646;6835;6872;7334;6761;7144;6528;6658;6482;6740;6866;3520;6510;6828;6910;6936;6806;6679;6545;6615;6343;6728;6480;6674;6590;6904;6762;6646;7136;6800;6830;6672;6592;6546;7703;6551;6682;6583;6644;6838;3550;6961;6634;6598;6571;6512;6560;6780;6163;6531;6797;6729;6636;7151;6818;7014;6114;6442;6598;8816;6804;6327;6592;6623;6894;3535;6630;6648;6572;6651;6335;6848;6551;6758;6789;6606;6616;7441;6794;7011;6313;6631;6582;6743;6895;3485;6658;6818;6726;6912;3542,6658,6567.61,8816,30706445018,6000000,12623;12520;12523;13406;13001;13024;12790;12918;12733;12708;13143;12394;12566;13054;6439;12530;12778;13198;12839;12974;6633;13798;13023;13084;12862;12482;12675;13114;13168;13031;12931;12606;12970;13247;13065;12146;12571;12231;12777;12507,12839,12527.05,13798,35594203492,6000000,5533;5605;5546;6955;6997;5665;5625;17374;21910;7913;10352,6955,9043.18181818182,21910,15664718008,16590618397,21616950798,30563850784,30740759011,115176896998
