rows,unique_values,reducers,skew,file_size,map_records_1,reduce_records_1,mt_1,mt_med_1,mt_mu_1,mt_max_1,rt_1,rt_med_1,rt_mu_1,rt_max_1,t_repartition,map_records_2,mt_2,mt_med_2,mt_mu_2,mt_max_2,t_broadcast,map_records_3,mt_3,mt_med_3,mt_mu_3,mt_max_3,t_merge_1_1,t_merge_1_2,t_merge_2_1,t_merge_2_2,t_merge_3,t_merge
40000000,4000000,100,0.1,25280,44000000,40000000,10713;12589;10916;12722;11525;14256;9301;12802;11045;9541;11218;10789;11467;14017;9596;13042;7289;9337;11223;9509;11570;9496;9446;14472;9258;12839;9441;14160;9903;12764;9835;10903;13084;11215;14113;10920;13060;9464;11047;9805;11791;10790;13934;11181;12715;9250;10832;9413;11026;9526;11469;9708;9603;9598;13143;9574;12604;9678;14405;9536;12407;11485;12878;10481;12858;11327;14275;9569;9587;11311;10951;10650;9720;10860;12548;9304;10998;9427;11489;9552;11363;9534;13030;9778;9837;9404;12648;9658;12624;9248;12791;11049;12731;10785;9953;11596;12709;9433;11530;9532;10836;11430;13308;10838;9722;13025;9876;11493;9823;11163;9583;11612;12283;9291;14387;9383;12695;9562;9721;12646,10998,11108.7916666667,14472,9682;9062;9751;8813;10423;9636;9947;10155;9731;6739;10969;10435;9238;9524;6735;10990;10883;10938;10968;9868;11056;9730;10788;10611;5844;11246;9572;9336;9650;9269;9997;10879;10656;8370;9924;6491;10887;10453;10284;10906;6617;10967;10921;9405;11255;10865;10700;10981;11154;10126;11076;5785;8763;10592;8807;10645;10786;10806;7625;10704;10250;11054;6485;9597;10800;6492;9658;9495;11033;9473;9535;9531;9943;10790;11157;11091;10518;7630;11042;7735;10404;10857;9394;9874;9749;9787;10147;8970;6623;10694;10237;11189;11387;10896;10887;11395;10428;11554;10803;9931,10250,9875.31,11554,36707806531,40000000,173120;154211;161048;161059;182667;188279;165791;167437;177335;174562;202971;173616;161049;158669;167597;77960;198487;201884;207302;208431;175118;203355;203460;205301;207517;208369;162831;180933;172342;209609;166849;75454;174216;200286;175315;208427;170697;211076;179551;183543;172877;184397;173259;62878;161922;167084;163703;174467;168943;203271;202112;203835;209163;175375;165395;169136;164856;210447;202680;208473;209583;211143;206301;183297;201895;210207;160892;209383;163002;166731;209376;154417;206084;177407;209729;175824;76832;161105;201821;160107,177335,179214.1625,211143,235971112161,40000000,11784;8376;11456;9790;10696;6722;12046;9373;12192;9427;12182;9184;11392;10050;10358;10048;10749;10610;12929;10079;10637;11333;11581;10677;11082;11679;8947;11042;8526;11370;9337;10985;6718;12443;9248;12772;10306;11315;10130;11366;10256;7603;10461;12010;7488;10659;11086;11189;10813;10575;11808;9713;8952;11415;10664;9311;11694;9308;9321;11641;10120;12287;10034;11496;9251;11785;10601;7476;10689;12410;9369;11278;10993;10520;9762;9864;11045;11736;8495;9538;11692;8552;11171;11465;7111;11269;10591;11812;7146;11465;9837;7212;10188;12490;10493;7512;11833;11149;10479;11013,10659,10401.33,12929,15822155538,18724914649,28781620017,34609232137,24424707508,122362629849
40000000,4000000,100,0.2,25272,44000000,40000000,14319;9538;11126;9475;10986;6487;11077;9443;13088;8204;12792;9621;9594;12683;12618;9404;10542;12714;10854;12881;11690;12862;9616;12701;11219;9349;11154;11820;11077;12512;12832;9296;11160;6164;11700;9601;11082;9556;12898;9567;12772;9569;13177;6370;13226;6372;12831;10719;13230;11235;12526;10998;12987;9709;10346;9573;12004;11142;12567;11010;9572;13315;9713;10919;9498;11658;6470;10576;12880;9336;9352;12712;9367;14492;6416;14296;14191;11068;14376;10984;14264;11050;13034;9552;6346;11320;10692;10596;12231;11599;12874;6499;11010;9316;11424;9712;11099;6271;9331;12840;9460;12671;9667;12972;12686;9677;12505;11039;12458;11058;12685;10783;12650;9655;11097;6404;11149;11154;12525;10372,11077,10938.1916666667,14492,10743;10859;11102;11424;11058;11703;10842;11703;11886;11752;10929;10424;11884;10401;12040;11894;10873;11960;11906;6215;11240;12321;11825;11972;9700;11227;11669;11262;10881;11243;11494;11334;11128;11565;10926;11487;11493;10730;11766;10553;11456;11905;10674;11534;11586;5950;11565;12080;11470;11940;10513;11482;11303;11563;11283;11541;11319;11889;10679;11565;11040;10267;8851;12321;11930;9714;11495;11382;8991;10947;11258;10008;12191;10989;11809;9484;12032;11937;11652;10989;10994;11270;11595;11562;10587;11429;5984;11402;10702;11782;10866;11867;10354;10151;11135;11354;9081;11794;10634;11788,11354,11063.29,12321,38594175783,40000000,192060;196602;186329;188168;215452;78632;179550;215891;192465;178201;190681;163589;160399;218430;170242;211324;166596;213297;207355;205618;169834;192747;164499;156060;173024;172082;159782;167129;171883;172570;156340;177607;173798;217649;78587;158220;169759;162764;206210;190781;178148;193277;194644;170660;80315;180808;207390;177249;209604;156423;208363;163769;209520;156903;191566;162446;216791;166371;208337;170138;211455;175213;191954;174539;171353;166816;178314;150648;178042;167835;163043;170325;79049;179633;209618;182347;164639;152368;160708;161115,175213,176424.275,218430,237233893827,40000000,10611;10528;12210;10818;10234;10724;10823;10620;10502;10330;10776;10330;11622;9650;11793;9641;11395;12230;10270;11634;10138;10549;11520;11198;10506;9962;10656;12281;10265;7589;11030;10841;11207;10908;11290;9968;10958;9847;10998;9056;11636;9519;12032;10165;11542;10372;11230;9946;11429;10465;11273;10639;10317;11685;10330;10516;10988;10612;10341;11085;9600;11477;9944;10700;9622;11291;9594;11857;9937;7766;10519;7422;6187;11711;9953;10442;10780;12249;10435;10765;10969;10721;11245;10441;11092;9960;10973;9587;10894;9253;10927;9466;10846;11336;10473;11690;11086;9755;10263;7715,10639,10545.73,12281,15780816552,17519272647,28622544194,33501349079,22963901827,118387884299
40000000,4000000,100,0.3,25263,44000000,40000000,13886;10879;12548;11032;12581;10823;14391;9668;11233;9531;11848;7207;12324;11049;12823;9691;11056;9770;11073;5221;11164;9358;9416;14155;14366;9645;12844;9719;12893;9613;12620;10941;12410;11543;14908;10841;12766;9615;9654;11215;12033;11203;12736;11003;12849;9596;11167;9538;11927;9772;10901;9691;14510;9608;12792;9715;12484;9454;12691;9667;12421;10868;12624;11117;14358;10816;9648;12830;11008;9617;11071;11277;12485;11011;5170;12957;5159;11143;9565;11198;9658;12081;9578;12698;9397;12863;9534;12830;9670;12924;10860;12498;11665;12951;10842;12955;9483;12977;11848;9661;11085;11019;10772;12722;12858;9723;11040;9640;11315;4948;11029;5044;9847;12848;13055;9585;12832;9493;12530;9691,11071,11050.4083333333,14908,11035;6341;11215;9417;11168;11063;11123;11014;10503;10129;10966;11145;6531;10270;10110;10252;10902;10890;10021;10956;10600;10758;10985;9740;10539;11123;10843;10710;10932;11198;11178;11114;10839;6687;11334;9072;11420;10163;6480;11025;9572;10699;10613;11572;11294;11308;9464;10646;11229;11909;9279;11422;10192;11646;10965;11099;11292;11000;10169;6646;10362;11059;11592;11234;11202;10129;11238;11228;11016;11213;11054;11311;11016;10837;10096;11572;9986;10771;10676;10738;11019;9877;9868;9263;9261;11072;7865;11143;8599;6458;11577;10726;10981;10109;11073;11056;11325;10916;10986;11088,10956,10463.99,11909,36653674755,40000000,183245;170301;175846;168820;163275;160674;162122;174700;191625;187852;195190;188036;175737;180035;181049;169792;190258;189392;73185;191453;192868;184593;73355;192159;192915;168206;177482;166187;159263;193482;151061;195142;178159;195742;169318;187379;167211;194127;170659;164367;60829;165059;162982;171498;172607;173044;162166;74019;192818;191926;187100;172280;178998;179968;193679;188660;192275;196885;194121;160039;193912;195316;193497;185821;195641;167399;178816;167501;180190;164251;195298;166702;194859;170079;195070;170298;195203;180831;193497;168556,179968,174624.4,196885,223360622053,40000000,9784;11611;10519;11254;11773;9741;11858;9559;10329;7950;10233;12803;10396;11215;10229;12099;10756;10750;10003;10434;10938;10932;9143;10807;11507;11499;10493;11660;9843;9870;11671;10008;10726;11916;10389;12597;10298;11841;10194;12625;10712;6877;10075;10764;11306;6877;9594;11729;11609;11066;11718;9831;7651;9706;10728;9919;11748;10138;11702;10133;11332;12088;10120;12125;10036;11380;11099;10341;11231;11182;11498;8914;11288;11165;11095;10130;11005;10064;10606;10370;10930;10081;11990;10481;13318;10221;12155;10190;11922;10454;10592;10782;10708;10874;10805;9247;7926;9424;10387;11615,10728,10673.07,13318,14672883577,17531856580,27652805934,32493208031,24135979784,116486733906
40000000,4000000,100,0.4,25250,44000000,40000000,14384;9889;11049;9686;11369;9755;11325;9405;12950;9342;12831;9598;13161;9551;12932;9670;13661;11007;12756;10793;10694;12693;12784;9402;11478;4871;11214;11423;11681;10866;9537;12660;9482;11114;9434;11125;9414;11044;9819;14555;9815;13261;4879;14500;9611;13018;12514;11165;13017;11209;12871;11133;12992;9784;9513;10869;10884;11000;12379;11445;14716;9651;11967;9736;11100;9596;11236;9554;12872;9518;14481;9852;13152;9514;14948;9886;12364;11162;13946;10991;11178;12793;9712;12724;11620;4863;11182;6601;12363;11744;13195;9572;11298;4757;11221;9844;11436;9555;12680;9561;13108;9723;14621;9696;12888;9584;10954;12586;11512;12697;10802;12576;14610;10001;11504;4862;11371;11190;11055;13794,11178,11112.8166666667,14948,12294;11856;12315;11297;15597;11760;14842;12146;12478;12096;14614;14894;8420;11558;12228;15020;14307;15431;10647;11123;9824;10206;7017;11445;12118;12056;10506;11507;12316;12136;15116;11628;12284;11839;15001;15204;11635;15447;15340;12168;15163;13667;11841;9823;12071;12017;7343;11525;10382;9197;11841;11713;11840;14919;12177;15078;11994;11937;5712;12292;15114;14447;11126;14593;14830;12603;14580;14835;12220;7174;11236;11429;8780;11493;9642;11566;12369;11388;12739;11371;13697;14768;11787;12266;11598;5732;14865;15111;11997;7369;14783;12819;14926;15459;12575;12387;12621;7527;12027;9763,12118,12198.6,15597,41822411727,40000000,107523;160899;193600;199943;169762;179282;161703;198142;110168;194066;172264;162486;159413;199673;150888;195618;171228;201416;181563;162997;174515;155928;138189;190710;137299;158030;91320;156235;87837;173189;165414;128721;165519;161532;162362;180182;161084;160564;167793;174708;172709;195367;165022;201297;199093;160983;158667;192805;182182;107458;155933;199383;173367;186975;199223;179370;190053;167849;192588;167642;199677;171131;193973;172521;179883;170309;161340;172809;154905;168696;168620;173643;191891;108934;190022;106725;83295;167954;175390;183841,171131,167091.125,201416,220922314106,40000000,11302;11345;10695;10745;11379;9577;6993;9679;11331;11549;12057;10216;11538;11722;11810;10010;11332;9807;10666;13055;10303;12805;10874;12647;10692;13437;11340;11423;11011;10721;11301;11741;9096;11473;7001;9998;7357;10134;12196;9856;11194;9777;11868;8164;10126;13382;11742;11816;10269;12550;10374;11493;11171;11201;11273;12372;9332;10693;10923;11623;12055;10065;11793;10040;12038;9946;11484;10073;11796;10813;10737;12638;10776;12144;10904;11377;6713;10241;11566;11568;11377;9560;11400;12074;11017;10170;12074;10060;11393;9752;11360;10615;12370;10172;13470;10573;12183;10396;11764;10138,11201,10942.42,13470,16276927531,19674194859,28712758229,33651049057,25524597409,123839527085
40000000,4000000,100,0.5,25232,44000000,40000000,6339;12910;9707;11057;9476;14698;9687;13138;10194;12239;10180;12541;10824;12760;10555;12364;6309;11321;6087;11904;11533;11986;11023;9549;13037;9683;11280;8083;11304;8319;11137;12782;9612;12832;8087;13024;9582;13428;9402;12318;10948;12331;10984;10652;11016;12635;8213;11272;9775;11259;11287;11132;11971;13133;9804;12833;9540;11187;9426;11165;8212;12703;9655;14396;8140;13182;9597;12996;9506;12211;11036;13763;10786;12753;10849;12892;9755;11137;6174;11218;11011;11377;12913;8282;11062;8276;11159;10004;11379;8272;12838;9619;10628;9634;12881;8270;14653;9517;12377;11167;12603;10729;12356;10580;12711;9534;11238;6298;11045;10925;11698;10988;11270;9758;10982;9650;8539;9490;11340;9793,11045,10838.8416666667,14698,8631;9239;8623;8686;8551;9869;8781;7293;8109;7076;10482;10305;10270;10569;10500;10774;9760;10292;10497;10568;9878;10925;10502;10845;10451;9049;8992;8563;8918;8481;9000;8647;7124;7233;6798;10483;10756;9790;9901;10140;8851;10165;10520;10515;10298;10162;10112;10350;10765;9253;8915;8728;9447;8864;8907;8398;5534;7205;7512;10080;10399;10873;10910;10508;9409;9056;11051;9336;9793;9985;10285;9338;8578;10331;9051;8503;9532;8781;9593;8712;8794;7030;6972;7198;10396;10098;8663;9831;11054;9883;10406;9512;10476;10747;10536;10712;10484;8820;10259;9770,9790,9455.97,11054,36693529771,40000000,175148;164669;170015;170693;185919;184044;209238;171827;161685;171071;168614;185543;198978;204211;172709;180124;174856;172174;210066;184831;186625;79609;77903;185865;79194;78667;206332;173835;210992;152913;210045;166724;185264;162210;208473;210085;205642;157059;199699;172206;159333;171581;169795;159344;173033;184947;183541;200309;163863;173575;174423;183082;184983;201622;176852;191461;165008;166187;210871;207556;189298;186856;207785;209686;194879;185527;211510;153166;211455;182214;184973;161633;210953;170160;186845;210116;208877;169365;188625;159063,183541,178876.3625,211510,234077036187,40000000,11662;10691;13020;10490;10983;9898;12390;10127;12653;10693;11857;12470;11696;10273;12619;11308;11677;11701;11213;10670;11772;9020;12392;9382;10671;11935;12839;10646;11539;10229;11236;10407;13761;9990;10323;13358;10812;12408;12265;6148;13056;11315;11277;11405;11491;6645;11052;12653;8787;10934;11373;10164;11584;11418;12907;9585;13322;10166;11996;12715;10765;12545;11008;11616;12830;11928;13388;7751;11412;11329;11912;12241;9173;11463;11465;11376;12378;9955;13173;6034;11703;9812;12020;10607;14057;11376;10463;12571;10392;7800;10834;10848;11613;11795;11989;11646;11667;9540;12076;11706,11418,11213.26,14057,16529939170,18649409543,27756953732,32567766837,24966001801,120470071083
40000000,4000000,100,0.6,25207,44000000,40000000,11216;9370;12141;11013;10897;11846;13109;9303;12934;9396;11248;9874;11144;9480;9328;9790;9227;12822;9839;13191;9586;13275;11291;12418;10658;12859;11408;12599;10306;13988;11220;9576;11125;10785;10793;10425;9395;11032;9726;11279;9693;11259;9474;12820;9441;12672;9548;12908;9432;12878;9708;11942;11070;9092;10602;9122;10658;12692;9520;11624;9713;11219;10977;11195;11292;14946;9647;11232;9509;11841;9863;11108;9413;12578;9396;12999;9672;14429;9431;13097;9365;12051;10982;12299;10818;12377;10384;12553;9793;9607;11345;9648;11693;11181;12067;10939;9542;12908;9568;11115;9389;10956;9661;11047;12761;9598;12936;9555;12673;9245;10389;9542;8533;10925;12511;10618;12756;10558;12468;9539,10977,10970.9916666667,14946,9896;10337;10692;10327;10700;9617;10815;10195;10673;10447;10703;10561;10579;10544;10884;10287;10173;10845;10424;10683;10421;6111;10254;10074;10199;5941;10728;10229;10464;10870;10429;10832;10929;10643;10253;10849;10423;10495;10553;10480;10261;10349;10601;10541;10579;9969;9755;10492;6103;10547;10978;10616;10825;10433;10587;10330;10105;10424;10060;10260;10317;9739;10392;10436;10229;10232;10511;9906;10057;8829;10285;10283;10754;9570;10704;10070;10759;10168;10545;10325;10094;10827;10564;10414;10832;10339;10598;10319;10466;9879;9997;10365;9320;6015;10287;9852;9972;10118;6322;9997,10392,10150.62,10978,35386929649,40000000,200942;199149;173983;200967;80302;204384;195616;197958;197391;198016;167318;165396;175662;198081;160221;196577;149185;192269;156922;182791;164138;200250;147732;176341;165578;165000;183191;163613;164560;160865;162309;185611;186803;198886;196855;170764;169050;166705;182393;195164;81352;185778;80111;160417;198172;187148;202342;195280;203951;159361;197608;174648;206506;167084;80835;163113;184665;160249;198625;155330;200976;170660;174355;203551;163038;162527;164986;184757;157307;164425;172399;166260;186758;202963;201274;196794;178906;163581;153781;162519,175662,174666.625,206506,226212171490,40000000,11304;10274;10208;11074;11433;11793;9119;10675;13325;12055;9901;12268;9633;11707;10191;11114;9780;12065;10361;13218;10329;13247;9950;14049;10475;11454;11230;10221;10606;10868;6293;12724;9470;13593;13081;13759;9152;13718;9542;11086;9570;13790;9951;11393;10064;13110;9959;13932;9914;11397;9838;11642;6906;10980;11307;12071;12447;6494;12057;13207;9974;13608;9853;12143;9593;11439;10056;13761;9923;12325;6294;14645;10242;13923;9990;14133;10879;11138;10929;11029;12219;9139;11073;11566;12013;11953;9569;11191;10267;12675;9451;13263;5981;14465;9991;9809;14549;10677;11798;10194,11086,11140.94,14645,14729069828,17542366658,27733611480,32695459751,26204410709,118904918426
40000000,4000000,100,0.7,25168,44000000,40000000,12834;9668;12515;9694;12913;9540;12776;9909;8324;10540;12120;10902;12332;10415;14015;9640;11131;9641;8102;11270;10785;10388;15005;9461;13697;9588;11291;9506;11138;9565;12445;9680;12796;9502;12726;9478;12965;6431;10804;9619;12023;10723;12416;10285;12336;9525;11381;9507;11534;11181;10562;13671;9289;12063;9393;10851;9667;8774;9386;10935;9604;12736;6433;11286;9515;13114;9905;11391;7687;12307;10411;12183;6758;12747;9692;9582;11252;10908;11199;11039;11718;14765;9760;11320;9527;11133;9494;11555;9690;10094;12727;9632;12730;10048;12762;9573;13054;9922;12761;10810;13192;10812;10735;10046;12699;9726;11046;9584;10833;11070;10332;10451;9365;14793;9560;10793;9423;11322;9868;10940,10804,10833.8916666667,15005,7803;10310;8213;12204;7787;12191;12182;5946;6532;10868;11006;11402;11177;11117;11976;11018;12133;9163;10999;10677;11345;11460;10877;8122;10793;10754;7434;12000;7954;11661;11667;12286;6243;10620;10940;11831;11110;11964;11200;12328;10990;8774;10251;9314;11399;10851;11075;10520;8158;10605;8018;12116;8004;12226;11191;12206;6278;11730;6229;11395;11204;11058;11086;9101;12116;9241;10142;10575;10774;11071;10441;10771;10839;8047;11046;8191;11477;8271;11556;7992;11458;11422;6011;11010;6629;11202;11449;10944;11193;11121;12297;10821;12261;8572;10988;11057;10468;11620;10854;11063,10999,10360.62,12328,36488920041,40000000,167165;190430;165475;168472;169195;159004;179222;184681;206788;202754;207687;84273;160730;171340;160600;177800;200232;84197;84818;208584;206723;207426;202149;209068;209191;168349;201825;167506;205943;177041;174431;208887;152340;183694;177912;206946;167120;85527;160254;156811;164879;169779;175349;165150;173157;166600;160917;203977;186295;186098;208696;161859;164820;164220;186329;213532;200356;188559;208875;171599;207882;200127;209479;203132;179531;196775;202964;173407;161491;202926;166270;205702;184877;169799;184505;150426;178234;162741;201469;190636,179222,178950.1125,213532,232145362351,40000000,10606;9303;11940;9933;13068;9114;11853;9509;13038;10304;12043;10045;13269;10034;12682;9833;10194;10819;12434;12271;10841;11982;12699;10409;12781;12004;9962;11969;9647;12228;8191;12960;9008;13807;9638;12014;11790;12588;10964;8051;10087;9997;10424;13380;9791;10781;10208;11091;10625;6707;9424;11828;9632;11940;8668;12026;9007;11398;9790;13596;10954;14042;9930;14188;10009;14239;10591;11089;10312;14141;11756;10275;11456;10733;12094;10915;10294;13570;10411;11499;8933;13338;9882;14159;9379;13502;10230;8103;9652;12765;6086;10364;10434;15191;11633;10581;10522;10880;10432;6781,10781,11015.7,15191,15642267781,17647610516,27712952939,33455424915,25979500277,120437756428
40000000,4000000,100,0.8,25110,44000000,40000000,10775;9569;11032;10591;10616;10214;9474;12053;5056;11177;9484;11620;9644;13277;9550;12276;9663;14424;9524;12504;9596;11335;11062;12140;10367;11694;5576;12106;9238;9761;10931;11478;10939;10931;11047;12776;9796;11094;9425;9645;11252;9734;11368;12278;9200;13917;9679;12733;9571;13065;9408;11098;10310;12197;10236;12071;10182;13098;9148;11135;9491;11087;4999;10451;11206;10806;9485;12908;9523;11211;9618;11317;9416;11358;12804;9196;12756;9531;12580;9594;12965;9632;11572;10277;11748;10125;12915;10107;12053;9465;10893;9643;10974;11055;10439;11180;12860;9349;12912;9518;7448;9452;9584;11205;5020;12348;9474;12686;9324;12773;9380;12909;10940;11668;10348;11499;10203;12202;10071;12249,10931,10707.85,14424,10434;10686;10152;10462;10536;10095;9878;9671;11426;10709;11003;10424;7701;10397;7162;9411;10103;7511;9918;7478;10524;7447;10180;10708;10344;10364;9813;10478;10327;10706;10540;12613;9846;11138;11179;11233;10461;7432;10862;7079;10101;7503;7599;9704;7583;10232;10007;10158;10068;9514;10519;10269;10688;10414;12375;10334;11771;10977;7046;7562;9505;7298;9452;7642;10346;6623;9975;7225;9413;7772;9178;7452;10523;10250;10457;9084;10590;10833;10539;10094;10470;10731;11617;10906;10849;10019;9687;7442;9479;7554;10887;7416;10119;7485;10248;7307;10648;7723;10972;10047,10158,9687.12,12613,39478629358,40000000,201395;191955;189282;186184;192125;179708;191167;196129;192471;149916;202327;150628;71601;158535;202454;171924;192722;206783;197174;152298;202129;170517;57330;173300;157983;166911;199151;166293;182557;171383;165136;157663;58038;172001;191076;193998;161130;181936;166095;176886;188871;198720;191200;193767;183615;186955;190357;187687;199376;161882;203490;148130;182413;164040;197604;179853;191274;189151;182866;153190;205780;145921;189760;162411;155453;165245;186465;158464;192313;202155;174574;165263;159248;158640;194296;72825;166205;187057;166393;175451,182413,173833.1375,206783,227099719910,40000000,10438;11158;11089;12138;14507;10486;12808;11270;11640;10420;10665;12505;10262;10341;11367;10578;10679;10246;10695;11096;7601;12423;9221;12076;9840;11244;10623;12994;12739;13339;11670;12634;10714;14241;9959;13637;11916;13150;9653;12609;10267;13093;10239;11417;10997;11025;10824;9980;11853;12482;11328;15250;10460;11545;11297;10589;12574;11916;11221;10409;10111;10959;12021;12050;13040;8387;11357;8530;11427;11295;12258;11395;12951;10939;13260;10783;11262;9923;13118;10757;13472;10405;12826;10360;11643;10678;12667;10596;13273;11828,11295,11433.4222222222,15250,16901357197,18646393087,28578001591,34719083226,27429694906,126274530007
40000000,4000000,100,0.9,25028,44000000,40000000,12074;9576;12469;9441;12810;9648;15930;9557;9779;10336;10008;6763;11423;10144;9093;9232;10404;9550;10535;7875;9030;13307;9577;11392;6358;10719;9693;11028;9596;12384;9682;13583;8065;14125;9562;13368;9735;11177;10387;11382;10278;11336;8631;9399;6520;9614;11165;10693;9783;11293;9258;13459;9550;9559;11404;9529;11421;9806;11044;9467;12161;9496;10520;9548;12951;9657;13415;10568;11176;10340;11414;10112;11789;10018;11880;11413;9534;10834;9587;10531;11140;10450;6504;11923;9824;10724;11525;8236;10955;9616;12698;9607;12366;9973;12557;9688;12801;9470;11241;10511;11363;10147;11421;8422;11723;9696;10031;9379;10789;11000;10471;11175;13226;9651;9354;13427;11539;9579;11008;6504,10404,10522.2,15930,10153;10604;9005;6381;9700;8750;11144;9711;9239;9947;10243;8856;10639;10103;10350;10122;9740;9723;11362;15996;11679;12291;10482;12412;10974;10348;10253;6092;10779;10568;9394;8665;9745;10094;10774;10638;9398;9920;7519;10927;10275;9374;9982;9855;13349;10591;11913;11021;9673;9718;11557;10656;11117;9664;6306;10958;9047;9791;10086;9719;9235;8900;9465;10510;10339;10045;10382;10966;10023;10789;11547;9760;12583;11775;11403;11039;10421;6293;9404;11317;6506;10042;9782;10006;9816;9130;10129;9886;8838;9595;10838;10338;10201;9970;9540;10349;12990;10167;11479;10167,10129,10153.37,15996,40708367410,40000000,176134;148103;163352;171216;136016;169431;168319;165063;209311;194693;158097;96367;161305;167419;171514;190721;180902;185884;181350;155323;79598;207213;177913;207193;209083;201302;80836;161165;153058;202358;132384;207586;158807;155899;79885;188973;77873;207246;164170;161250;153334;170792;161348;184578;163847;155246;157894;175527;160253;193875;177227;158889;188680;170188;159094;86796;171667;205251;205113;158865;160600;202813;178457;189935;182288;177217;164173;205912;150170;95652;169553;133983;157008;115419;202504;122223;201481;79732;186040;163402,168319,164516.725,209311,229062007396,40000000,9452;9595;12418;12268;13524;9893;16353;14964;10414;8843;10931;9192;8897;9160;11384;9513;26897;26528;28463;25050;42152;28603;44697;16648;17180;19125;16916;17485;19575;24224;21143;3714,16353,17350.03125,44697,16212929658,18632391099,28832100517,43492655389,54122370582,161292447245
40000000,4000000,100,1.01,24915,44000000,40000000,13022;9808;11323;9470;11090;9604;10189;9483;11417;9536;11670;9528;12521;9882;12666;6306;11157;10247;11233;8718;9759;10424;11530;9573;11539;9764;10415;8772;11120;10500;9632;13428;9625;10822;9679;11021;9504;7562;11708;9515;11884;8158;12572;9745;12922;6392;9677;10259;11273;10102;11259;10221;11294;7908;6150;11034;10541;10519;11151;10493;13865;6153;11166;9391;11243;9539;9614;9651;9711;8461;9708;12122;9604;12458;9568;13208;11096;10220;9714;10096;11396;10323;11458;9866;10639;9788;10455;6619;11364;10396;15391;9518;12336;9689;12292;9827;9893;9532;11642;9653;12139;9604;12718;9532;13024;9447;10282;7795;10226;11348;10288;11299;8382;11776;10294;9668;7220;10279;6619;11295,10259,10335.1333333333,15391,10103;9987;10384;10514;9540;9697;9422;9624;10684;9992;9709;13927;9969;12800;9113;8938;9700;9795;5188;10631;10322;9702;9413;11531;9452;10160;9832;9511;10229;8875;9974;9774;9959;9639;10375;10124;9271;14467;9815;11830;9340;9399;9639;9832;10391;5271;10097;11368;9438;10869;9039;10385;10660;10217;10272;7695;9515;7533;9812;10580;9711;9928;10339;12093;9778;9510;9520;9557;8786;16165;10530;9953;11525;9395;10538;11254;10383;10381;9773;10734;10050;4880;9625;9038;10840;10040;12818;9184;11895;10116;9554;8872;22831;9452;10172;9315;9617;10529;9159;11289,9953,10144.53,22831,47429961066,40000000,199735;201798;184621;169154;199076;173035;196885;196129;184645;143024;82282;151259;193067;160147;198937;153485;181696;195999;196981;153905;181881;161395;158235;167889;166991;189240;197913;154261;198138;172915;148495;140015;179062;171880;83318;198757;155518;185475;150340;152218;198517;195765;196946;196876;82878;198107;201139;184348;198262;156308;179802;144332;198945;141440;78770;153723;200487;200455;191010;152375;198018;171205;153215;155525;154037;147441;199018;152153;198596;151766;146408;157706;156717;191798;185942;183376;164768;155779;160643;173497,173035,170473.6125,201798,231957471498,40000000,44465;45087;84154;56091;10877;10110;22823;13251;31851;25119;36507;33701;9244,31851,32560,84154,15709366546,18520967430,31544879704,53657683355,92840831364,212273728399
