rows,unique_values,reducers,skew,map_records_1,reduce_records_1,mt_1,mt_med_1,mt_mu_1,mt_max_1,rt_1,rt_med_1,rt_mu_1,rt_max_1,t_repartition,map_records_2,mt_2,mt_med_2,mt_mu_2,mt_max_2,t_broadcast,map_records_3,mt_3,mt_med_3,mt_mu_3,mt_max_3,t_merge_1_1,t_merge_1_2,t_merge_2_1,t_merge_2_2,t_merge,t_sort_merge
3000000,300000,100,0.7,3300000,3000000,8512;7830;8267;8522;8249;6694;8317;6198;5564;5391;5285;5394;5313;5359;6151;4005;8463;4631;8437;5997;5775;5319;4719;5612;6630;4881;6764;8401;8183;4682;8246;5404;4300;5968;8543;4985;6764;5657;8749;5337;7862;8019;7794;8069;8360;8192;8541;6323;5278;5414;5314;5191;5570;5373;6527;8526;8516;4949;8567;5236;5435;5799;6184;5661;4870;5337;8227;8628;4144;5731;8399;6758;4275;4870;8596;5104;6705;5334;8615;5282,5997,6488.4125,8749,6942;6852;5025;5669;6076;6928;7028;6038;7089;6160;6219;6774;5657;6074;6951;5851;5814;5691;7066;6912;3723;6587;5773;5801;5707;6033;5648;5674;5778;6936;6224;7096;5492;6339;7057;5929;7042;5773;5885;6829;6813;6942;6931;6825;7090;5725;5657;6923;6962;5759;3357;6897;6992;5635;7075;5526;5614;5643;6608;5510;6193;7097;5872;5702;6720;6992;7040;5758;5685;6570;6936;6991;5524;5903;3726;5681;5666;7089;5422;5618;6927;5929;5647;6775;7030;6205;5532;5855;6333;7071;6966;5971;6983;3716;5709;5778;5722;6488;3741;6989,6076,6161.78,7097,27588255868,3000000,9168;11289;10936;11218;10776;11203;11054;11160;11179;9370;11299;11144;10849;9294;9114;11156;11337;11017;11286;10675;11042;5792;5682;11006;10615;5756;5921;9438;9360;5722;9320;5690;9357;9399;8836;8904;8918;9279;9339;9298,9438,9579.95,11337,30502416199,3000000,6472;6979;6281;6316;6864;6608;5370;5729;7080;7305;5576;6918;5421;6778;6159;6498;3868;6555;7376;6754;7019;6584;6642;6613;6446;6713;5469;7038;5201;7054;6415;6783;6668;4393;3945;6394;3989;7052;6220;6541;6534;7225;4101;6817;4184;7365;6363;7153;6738;6826;4268;6712;6825;6585;5559;5987;7003;6724;6348;6786;6804;6694;5566;6640;5091;5563;6779;7041;6644;8014;5579;4333;5571;6885;5333;6682;6381;6650;6602;6580;6215;5223;5519;6820;6597;6446;6700;7225;6405;6776;5561;7036;6524;7127;6520;6902;5483;7246;6720;6698,6602,6313.64,8014,13642437751,16471577620,23460704422,28546914617,19039305667,101160940077
6000000,300000,100,0.7,6300000,6000000,7995;5442;8800;7759;4475;8681;5201;8984;5884;8183;5227;7868;5601;6746;6228;8738;7820;8689;8697;8092;7951;7909;4268;5622;5560;3021;5855;5812;3041;3944;8615;5151;8184;5106;5598;6624;4622;5412;6336;5587;7936;7991;8051;5979;5938;6470;8098;5515;6657;5171;8161;5590;8870;6675;8558;8073;8054;7905;8798;8653;8707;8010;6230;5195;5377;5431;8488;5403;8040;8332;7946;4908;7874;5716;5458;5862;6215;4899;5652;5718,6470,6699.15,8984,7073;6781;6924;7013;6905;7144;6938;6886;6026;7039;7075;7146;7263;6242;6355;7360;7090;7375;7184;5897;7111;3599;7204;7069;5697;6874;7176;6509;6833;6974;6411;6919;7093;6572;6718;7203;5948;5048;7252;7655;5740;7072;5390;7293;7220;7166;3565;7286;6493;6644;7286;6741;6046;6626;5933;6186;8075;5910;6058;6322;7225;7124;6079;7258;5569;7229;7109;7328;7176;3748;5754;6507;7189;6716;7137;7371;6497;7443;6732;6817;6971;7464;7201;7136;6616;7087;6486;6171;6077;7203;7177;8211;6898;8219;6216;3911;7162;3772;5872;6815,6924,6653.06,8219,28603382845,6000000,11698;11646;11561;11820;11772;11513;11632;11533;11692;11676;11271;11665;11507;11428;11564;11690;11539;11776;11417;11744;11766;11364;11845;11807;11681;11824;11685;11649;11365;5172;11762;11619;5177;11459;11772;11440;11477;11286;11640;11329,11640,11281.575,11845,31563127377,6000000,6976;3910;6833;7242;6724;6925;6826;7029;7013;7743;7792;7472;6704;7153;6618;7277;7044;7258;6974;6572;7224;6629;6830;7112;3846;6779;7788;7041;6984;7742;7110;7184;7068;6896;7403;7129;7159;6812;7067;6833;7235;6902;6847;7153;3820;6648;7112;7214;7093;7020;7719;7114;8059;7287;6936;6991;7220;7062;6788;7160;7829;7350;6663;7054;3733;3831;7773;6668;7031;6979;6586;6710;6871;6895;7055;7111;6615;6643;7327;7141;6563;7107;6843;7270;7118;8112;6710;7129;6709;7338;7142;6537;6933;6810;7028;7329;6574;6473;7139;6983,7031,6898.13,8112,13548592038,15542485725,22570321837,28718022381,18893020134,99272442115
9000000,300000,100,0.7,9300000,9000000,5332;5738;5550;6424;7506;5619;7557;7231;8094;5431;8856;5404;5193;5245;5368;5355;5329;5602;5022;8120;6197;8913;4645;7829;4880;8883;5521;8124;5501;5131;5358;8187;5555;7765;8471;7733;7853;8868;8643;8815;8193;5727;5451;5877;6255;5396;6026;7252;7638;6202;8833;5573;5264;5035;5774;5950;5532;4920;7538;4959;8198;5482;8740;5185;6016;7919;4530;8471;8110;5702;5688;7650;7852;8547;7831;7619;7567;8903;4978;8796,6197,6675.3375,8913,6490;6591;6821;6911;7336;6702;7382;6275;7039;6651;6575;6267;6809;6508;6541;7392;7370;6853;4499;6637;4612;6823;6587;7448;6878;6791;6470;7326;7037;6472;7417;6534;7452;6341;6326;7237;6430;6749;6743;7072;6911;6708;6816;7336;6682;4205;6812;7462;4569;6452;6500;6471;7178;6348;5983;6376;6062;6891;6291;6813;5765;5289;7033;7066;6842;7367;6724;6912;7027;6847;7020;6842;4595;7430;4431;7400;7191;7359;6771;7431;6684;6424;6318;6303;7456;6512;7177;5322;7481;6926;6619;6683;7122;6678;4538;6630;4538;7411;6233;7057,6749,6607.14,7481,27528897768,9000000,12431;12454;12509;12303;11908;12119;12480;12455;12347;12247;12329;11883;12126;11840;12073;12461;12159;12441;12732;12003;12157;12287;12648;12190;12759;12544;11697;12421;12040;12602;11876;12575;12407;12602;12091;12218;5050;5115;12278;12161,12287,11925.45,12759,33586261322,9000000,7267;7054;6912;7672;7229;7313;4041;7260;7241;7175;6920;7393;7100;7303;6925;7288;7034;7557;7102;7492;6994;7402;7141;7368;6857;7219;7107;7192;7445;7025;5039;7269;7203;7101;7131;7347;6883;7253;6906;7173;6811;7269;7069;7327;7227;7351;6904;7329;7122;7376;6881;7283;7031;7043;7659;7319;7365;7282;7215;7086;6953;7250;4844;7315;6776;7405;3761;7439;7255;7215;7464;7383;6940;7285;7076;7194;7043;7201;7049;7603;7455;7403;7224;7210;7331;3761;7319;7010;7410;6508;7442;6826;7667;7172;7619;7043;7504;7056;7364;7159,7215,7062.16,7672,14596946823,16473634527,22485567732,29666123870,18833249730,102055522682
12000000,300000,100,0.7,12300000,12000000,9558;5329;9504;5361;4896;5081;5584;6158;5161;5429;9268;7452;9243;5219;9346;4828;9558;5002;5860;5150;9638;5091;9591;5422;8952;7871;9219;7691;9012;9811;9788;9762;5344;5515;5057;5512;5223;5473;4842;5009;9164;4571;9240;5940;7217;5197;5945;5730;5487;4630;9340;7493;7377;5783;9242;5319;9498;5313;9502;5223;7078;7592;5327;9631;9077;5025;9119;9211;7589;8074;8070;9364;4745;5455;6987;7369;5393;4955;7540;9084,6987,7008.825,9811,6615;8404;6626;8984;7951;6780;7761;7011;8207;7358;8384;6485;7273;8032;6787;6832;7916;6709;7019;7365;6863;6562;7088;8084;6353;6682;8320;6713;8126;7615;6011;6614;4120;7351;6857;6231;6615;6248;7323;6814;8117;6614;6561;3721;8231;7918;6808;8230;6491;7013;6695;6383;6617;6453;7374;7489;7251;7329;6773;3951;6631;6850;8235;7312;8268;7215;6852;7929;8170;8246;3966;6605;6996;6405;6318;8146;8266;6335;8132;8260;6735;6882;6493;7698;7356;7326;8081;6890;7944;4063;6784;6525;6688;7016;6860;7038;8176;6969;6517;5928,6969,7042.14,8984,30582079874,12000000,12960;13100;13077;12595;12474;12476;12266;12677;12580;12658;13180;13094;5881;12625;12881;12993;12806;12359;12890;12872;12100;12504;12810;12605;13083;12799;12905;13009;6006;13205;13089;13356;12998;13062;12986;12784;13164;13836;12597;13121,12881,12511.575,13836,32842480467,12000000,7547;7098;7782;7103;7789;6849;7641;7152;7982;7242;7943;7476;7781;7084;7741;7241;7744;7249;7234;8005;7464;7667;7596;7385;7509;7089;7431;3976;7696;6948;7776;6857;7385;7006;7925;7253;7843;7200;8018;4029;7658;7360;7379;4215;7402;8181;7636;7362;7424;7468;7716;4938;7638;7142;7765;6680;7767;7039;7669;7132;7847;7205;7482;7344;7699;7125;7327;7460;7122;7329;8049;7599;7672;7411;7298;7553;7065;7691;7160;7479;4539;7769;7010;7743;7088;7672;7321;8104;7111;7700;7227;7432;7402;7461;7923;7354;7460;5281;7677;7385,7431,7288.83,8181,14520714615,16508793261,22476716595,29498985206,19077303357,102082513034
15000000,300000,100,0.7,15300000,15000000,5355;5600;5320;5293;6033;5460;7379;9413;6166;9439;5476;5015;4768;5600;6337;5706;5653;9810;9089;9867;5251;9641;5162;8866;6647;8819;5412;9164;5356;9832;7061;9611;9429;8953;8464;9804;6149;6092;9715;5911;5422;5903;5891;8635;4622;9386;7464;8954;4748;9142;6666;5352;5632;5180;5928;5538;5169;7843;6075;6456;9663;6151;9127;5463;10022;7057;10687;6068;6454;5563;8965;5506;7644;8382;8767;9607;8947;8904;8708;9283,6647,7238.65,10687,7554;7160;7857;7192;7223;4522;7573;7143;7509;8473;8105;7684;7484;7341;8145;7297;7188;7174;6553;7616;7592;7493;8339;7184;7695;8416;7091;8220;7081;7128;6919;7330;4534;7657;4553;7162;7016;8572;7668;8402;7763;6548;7346;8397;7582;7137;7044;8039;7525;7586;7565;8029;7379;7062;8129;6999;8083;7729;8140;4527;8110;7333;7382;7446;8251;7012;7069;8502;7574;7623;7579;7500;7721;7493;7466;7490;7055;7240;7090;7299;7229;8436;7705;4582;7421;8359;7322;7197;7430;8111;8028;7377;7423;8326;8037;7264;7257;7615;7608;6973,7490,7413.89,8572,30492838320,15000000,13427;13218;13353;13669;13262;13433;13478;12544;13182;13238;13239;12841;13043;12877;13014;13300;13456;13439;13706;13174;13280;13686;13517;6305;13293;12873;13514;13694;13558;13419;13868;13351;13411;13741;6416;13392;12850;13075;12966;13314,13314,12960.4,13868,34447541743,15000000,7715;7683;7406;7554;7783;7179;7839;7363;7757;7444;8117;6122;7679;7484;7877;7422;7837;7742;7734;6958;6138;8102;8118;7242;8220;7354;7446;7903;6147;7614;7824;8032;7296;7829;7896;8161;7618;8075;6131;6697;7508;6680;7604;7805;7614;7734;8078;6854;7600;6937;7241;7832;7848;7967;5219;8018;7447;7466;7684;7480;7381;6973;5181;7943;7436;6780;7344;7953;5080;7796;7093;5047;7813;7309;8055;7510;6246;7418;7819;6490;7379;7631;6501;7719;6945;7188;6982;7633;6758;7217;7865;7237;8151;7433;6993;7682;8123;7534;8151;7592,7554,7385.35,8220,14397628101,16438911221,22626329182,30712215626,18768993060,102944077190
18000000,300000,100,0.7,18300000,18000000,10542;4897;8961;6122;5045;5181;4946;5390;5501;5296;6450;8134;8278;5454;9367;5283;10011;5454;9169;4628;9837;5091;9944;5221;9600;9889;10076;10000;9914;6738;10390;10096;5772;5589;5197;4741;5047;5528;8168;8323;9816;5518;9799;5242;5338;5405;5461;5995;5274;5329;9608;9687;6261;5117;10192;5631;9935;5356;10020;4772;7157;5660;9224;5175;9827;9926;10150;9793;9911;8425;9802;8326;5142;5353;5603;4732;4974;4760;8400;8572,6261,7249.225,10542,7098;7565;7924;7564;7693;7230;6876;7759;6804;8083;5551;4813;7134;5290;6468;6407;8005;6391;6965;8213;8494;8260;8261;8292;8145;7475;7032;7539;7427;7322;8464;8179;7047;6991;7267;5264;8098;5170;5684;8300;6635;7429;7245;7027;7061;7021;7221;7014;7821;7813;8350;7166;7941;7041;8435;7048;5318;8074;6952;5245;6127;5184;7120;6421;6955;5601;7242;7157;8103;8116;8013;6897;8094;8035;8029;8581;6968;8274;8193;7503;8086;7228;8339;5131;6999;7358;7548;8509;5254;5537;7424;7186;8191;7114;7188;7587;7089;6722;6819;7477,7242,7218.0,8581,31648867439,18000000,13851;12971;13278;13295;13200;13592;13653;13462;13079;13961;14121;13739;13698;13687;14111;13953;14376;13487;13572;13726;13958;13449;13431;13269;13307;13897;13681;14153;14175;6782;14083;6857;13577;14159;14091;13611;14212;13971;13779;13464,13687,13367.95,14376,35787830560,18000000,8158;7706;8119;7447;8026;2891;7841;7584;8711;7804;8263;7884;8532;7744;7944;7681;7823;8097;8087;8554;7745;7892;8068;8226;8049;8183;4291;8271;7574;7867;7552;8083;4145;8532;8183;8404;7720;8416;7839;8207;8010;7796;8213;8011;8813;7761;7827;7808;7837;7731;7787;8245;7961;8251;7384;7815;7453;8227;7808;8594;8124;8690;8082;5280;7951;8172;7875;8149;7843;8166;8762;7742;7822;7747;8137;7938;7843;8098;7443;8274;7378;7937;7572;8458;7861;8271;7984;8352;7641;8287;7891;7811;7855;8000;8628;5739;7807;8117;7611;7810,7938,7826.23,8813,14494214038,17615836075,24538422954,31716008832,21271485267,109635967166
21000000,300000,100,0.7,21300000,21000000,8543;9956;6249;9538;8506;7275;10448;10125;5982;5713;5413;5144;5576;5539;8588;8671;10410;5686;8979;5513;5546;6013;5295;4386;5620;5739;9435;9704;9527;6393;10442;5323;10444;5254;10015;5342;10573;5364;10629;4684;8244;8447;9448;8392;6072;10577;9827;9079;5673;5496;5448;5664;5052;5674;8583;9143;10395;5826;11338;5527;5556;5521;5861;5198;5479;5630;10601;9241;10522;5015;6722;5534;9977;5498;11674;5651;10632;5314;10390;5557,6249,7463.25,11674,8431;8172;8368;8553;9621;8390;8930;9660;8598;9327;8680;9810;8895;9965;8335;8720;9018;8767;9110;6675;8888;6256;8405;7080;9753;6633;8201;9067;8261;8736;8365;9428;8699;9949;8787;9439;8255;9512;9121;8696;8623;9048;9506;8560;8441;8814;9069;8690;9435;8276;6512;8582;8220;6977;8785;8714;9745;6704;9641;9175;10010;8893;9468;8882;7375;8815;8570;9972;8793;8808;8708;8220;9945;8672;8831;8324;8629;8250;9770;9119;8477;9923;6676;9914;8414;9379;8959;9548;8973;8549;8116;8529;6882;8707;9625;8761;8507;8576;8448;9968,8736,8720.58,10010,33684712669,21000000,15557;15116;15525;15809;15131;15554;15088;15268;15461;15804;15146;15157;15123;15485;15354;15327;15368;15360;7904;7966;15366;15852;15660;15777;15543;15389;15275;15554;15354;15665;15298;15541;15889;15413;15904;15574;15182;15031;15438;14966,15389,15054.35,15904,36764367079,21000000,7898;8083;7993;9385;7916;8618;8190;5048;8044;8413;7667;8480;7913;8200;7555;8279;7741;8698;7787;8477;8052;8842;8023;8782;7890;7828;8117;8812;9021;8146;8305;8382;7936;8673;5311;7690;8924;7442;8760;7287;8159;7844;8419;7948;9939;7780;8602;7964;8626;8110;4981;8128;8214;7990;9434;8657;8711;8495;5029;8917;7682;8182;7743;8753;7582;8262;7335;9443;8066;8924;7964;8386;7759;8226;7973;8751;8367;8090;9147;7975;8021;8131;8166;8080;7805;8566;7786;8901;7684;8752;7566;8633;7815;8630;8174;8508;7883;5655;8016;8562,8131,8104.99,9939,14605871970,17653252597,24544685726,31520979557,21146205863,109470995713
24000000,300000,100,0.7,24300000,24000000,8261;5425;10441;5128;5332;5263;3447;5206;5920;5618;8878;11045;10551;4682;9451;5373;10715;5208;11448;5061;11373;5291;10433;6547;8145;9730;10443;9416;10718;8169;10993;11026;5457;5216;4449;6298;5953;5532;9077;9471;10262;5446;11230;3774;5094;5127;5396;5236;5429;5066;10781;11908;9699;3555;10916;5505;12299;5668;8999;5824;12271;4763;10370;4669;9342;9489;7161;9550;9280;8423;11304;8033;4927;5737;4106;6219;5069;4912;8126;9321,7161,7580.95,12299,13767;10811;13447;11100;12991;8711;12806;10433;13591;5852;13257;10674;5686;10667;5812;9585;10103;10692;9318;4858;7802;10341;13561;10034;13563;8279;13570;10216;13758;10095;13548;11061;12709;10401;13141;13277;10518;6066;13734;6071;10830;6781;10479;10394;9383;9414;13206;6589;5018;9356;13613;11289;13475;10345;13053;9645;13309;11864;13277;10593;12811;5853;13079;5807;10138;10075;10710;10696;9551;10840;9684;13318;7956;4802;9424;13257;10654;13150;10286;13566;10296;13580;5675;13647;13638;5869;10834;5328;13686;10585;10356;7103;10629;5012;9575;9534;13794;6108;13575;7402,10585,10397.02,13794,37782512782,24000000,16501;16734;8438;8314;16073;16552;15883;15995;17178;16862;16299;16586;16296;16342;16289;16481;16230;16005;16190;16534;16195;16114;15990;16624;16576;16483;16807;16492;16600;16649;16537;16330;16500;16664;16477;16510;16030;16795;16180;16643,16483,16024.45,17178,37488924216,24000000,9158;8183;9167;7782;8545;7980;8285;7893;8820;8097;9170;8454;9095;8050;9029;8065;8746;8390;8235;9144;8521;8414;8522;8617;8264;8910;5823;8620;7881;5530;8803;7328;7738;5923;7892;8973;8141;8566;7963;8955;8088;8321;8471;8485;9228;8643;8495;8828;8443;9264;9780;8223;8556;4775;8668;8694;7654;7646;9113;8218;9102;8385;9009;7843;8889;8319;8302;8490;8331;9255;8580;8438;8552;8376;8323;7898;8526;7842;8690;7780;8706;7992;8537;7995;9182;8395;9102;8045;9302;8008;8751;8479;8436;8398;8129;9876;8741;8590;8398;5179,8454,8344.36,9876,14541842629,17461935788,23426144571,31676249061,20892217575,107998389624
27000000,300000,100,0.7,27300000,27000000,4754;5356;5515;5226;4907;5429;10124;10513;6301;11619;5367;5236;6005;5168;5077;6369;5601;9803;9701;12473;5526;10844;5195;11517;6412;10104;5916;11411;5988;11211;6046;10071;8669;6716;11064;8306;11480;11034;10129;5324;5162;6107;5717;5447;10199;10291;8971;10987;5367;11294;5826;6361;5472;4576;6362;5358;6024;8824;10759;6243;10958;5894;10229;5399;11686;4754;8980;5485;12915;5033;11704;5815;10530;10959;10481;10643;11488;10574;8316;11435,6716,8026.65,12915,8100;6859;7018;7082;6916;8881;8940;5642;7623;5589;8717;9230;8118;9173;8737;7880;7908;8226;8339;8621;8081;8998;8756;8970;7995;8862;6725;6655;7682;8098;5491;8391;5651;8744;8204;8711;8002;9266;8346;9795;8213;7785;8662;7256;8010;8716;8261;8762;8739;8980;8052;7681;6309;7569;7037;8648;5507;5717;8075;8253;9078;8452;8699;8247;8899;8437;7926;8142;8862;8622;8161;8020;9081;8636;8779;7145;7526;8163;7819;8580;5721;8734;7188;7387;8466;9377;7863;9421;8643;9021;7761;8086;8153;9279;8648;8443;8736;9010;8796;9243,8253,8105.04,9795,32745706391,27000000,10007;17086;15235;10053;9712;14386;17385;15116;14684;14615;14174;14509;15054;9660;16771;14732;17382;17036;14975;16899;17822;10235;17456;17858;16575;16953;16873;14182;16841;17087;16819;16895;15435;15312;17373;16858;14529;16226;9985;14102,15435,15122.175,17858,38623788277,27000000,7746;8710;7543;9597;8544;8870;8759;7956;8617;7936;8818;5562;8254;8962;7817;9395;8046;8603;8666;8510;9013;8691;8271;8564;9488;7520;8834;8443;9273;8413;8008;8582;9075;7996;8938;8273;8991;8545;8101;8845;9285;8757;9486;8254;9471;8678;9270;5791;9028;5762;7886;8541;8277;10091;8598;9199;8848;8820;8472;9412;8795;5614;8281;9149;7409;8307;8054;8404;8440;8964;5893;8189;8354;8825;8354;8586;8785;8527;8005;9778;9191;8807;8724;8844;10092;8362;8682;8634;8800;5177;8973;5390;9529;5937;9280;8073;8585;5829;8992;8602,8602,8399.17,10092,13687884125,18575337689,22690327846,30512074319,20909158229,106374782208
30000000,300000,100,0.7,30300000,30000000,6753;8437;8301;9106;9062;8289;5025;5857;9393;7244;7661;7347;10491;8396;12264;5097;5384;11225;5439;5484;5843;11048;6323;5805;11050;5930;8548;9190;8369;11249;10099;9255;8485;7112;8255;11601;5494;5071;10544;7959;10526;8168;10324;8175;6818;10997;5770;11739;6060;5488;11228;5922;6004;10850;5819;9125;7478;5062;6926;11071;9030;10302;9200;8366;7106;6682;11563;5546;7267;10792;8156;9082;7067;9117;11287;5419;5712;9986;4842;6099;4816;11117;6625;5646;11212;4926;9228;8224;9127;6209;8812;9186;9081;8265;9103;10662;6315;5130;10873;8332;11409;9136;10453;8317;11238;7207;5353;12030;5618;10667;5820;5854;11326;5525;6212;8349;7363;9245;11446;5703,8301,8173.466666666666,12264,12322;9894;11979;9948;9250;10141;8274;9922;7428;6413;8935;10182;11761;8287;6027;11831;10882;9381;7907;6205;9945;8251;10441;11162;6363;12031;10324;9738;10054;11536;8823;9116;10207;9043;6313;9218;9237;11611;9520;6431;9994;11936;12010;8024;11172;6273;9274;8846;8332;12331;5782;9405;8367;12091;9793;10869;10180;9968;10118;10287;9959;7795;9463;6368;9645;6632;11602;12160;9334;12404;8281;9145;5944;12112;5961;11537;10038;11505;7226;11979;10290;7509;10072;11631;9310;8131;10040;5833;9375;6598;10775;11733;7971;8064;8232;9323;10756;6386;11516;6613,9645,9406.33,12404,34790137725,30000000,11633;11670;11653;11319;11665;11578;11354;11698;15863;15013;15570;15928;11465;11674;14934;11664;16022;15651;15811;10898;15264;9106;15686;15920;15889;15590;11509;15632;11655;8823;11714;14853;11322;15752;11058;15243;11253;9030;11153;15734;11551;11322;11440;11562;11617;11321;11127;11361;11696;16370;15072;16853;15607;11485;11458;11221;11511;9004;16439;15167;15995;15902;15590;16823;16395;15763;11594;11321;15265;11552;15566;10957;15642;11197;15912;11056;16071;11237;14893;11092,11674,13228.2,16853,40780730816,30000000,9331;8204;9495;8547;9250;8097;9069;8015;8784;10225;6128;9628;8475;9717;6137;9350;8730;8864;9010;8660;9790;9283;9230;8862;8796;5679;9331;8512;9403;7864;9052;8169;9417;9491;8498;9388;6237;8992;8635;8842;6104;8969;8936;8887;9694;8786;8855;8921;8773;8759;9269;8339;9253;5555;8259;8169;8396;8148;10312;8658;9718;6089;9296;8820;8634;8713;8564;8866;9034;10351;6218;9338;9127;8800;9083;8476;8490;8837;8313;9170;7979;8818;5527;9522;8753;8739;8786;9529;8519;9234;8655;9089;8823;8773;9616;8568;8936;9018;8955;8938,8837,8669.43,10351,14469492803,17575523511,22465490386,32546034213,20772998309,107829539222
