rows,unique_values,reducers,skew,map_records_1,reduce_records_1,mt_1,mt_med_1,mt_mu_1,mt_max_1,rt_1,rt_med_1,rt_mu_1,rt_max_1,t_repartition,map_records_2,mt_2,mt_med_2,mt_mu_2,mt_max_2,t_broadcast,map_records_3,mt_3,mt_med_3,mt_mu_3,mt_max_3,t_merge_1_1,t_merge_1_2,t_merge_2_1,t_merge_2_2,t_merge_3,t_merge
3000000,300000,100,1.2,3300000,3000000,4059;8937;6046;6547;7071;8982;4041;9003;3317;4614;4455;3389;5376;4701;6304;6046;9208;5217;6344;5393;3364;5098;5053;5660;4588;5288;9005;8987;6515;5836;9070;3359;7214;5628;8927;5632;6688;6035;8983;5540;6147;8784;5884;7176;8877;7185;8925;5981;4511;6122;5659;4605;5578;5303;6128;7030;9219;5609;9075;5535;4789;5577;3328;5257;5531;4888;6551;7218;8898;5767;8745;3338;8937;4923;8864;5616;7120;5420;7144;4654,5884,6267.725,9219,5776;6460;5977;5868;5804;6616;4408;6525;5627;5885;5626;6061;5686;6147;6151;6566;6110;6948;6481;3537;6172;6147;6527;6515;3477;6387;5742;5940;5945;5609;6620;6378;5414;5748;5645;6542;6220;6298;4930;6380;6499;6618;6183;7157;6299;3524;6728;6291;6128;5883;3453;5799;5778;5711;6564;5829;5598;6464;5988;4564;6453;5678;7625;6172;6131;5687;5814;6224;6711;6258;4151;6367;4167;6510;6571;6627;6322;5908;5818;6449;6075;6488;5626;6385;4430;6186;4797;8890;5533;6116;6466;6604;6100;6886;6414;3435;6498;3657;6524;5881,6147,5945.87,8890,30705774702,3000000,11043;11009;10638;11112;10436;11151;10780;10700;11058;10818;10597;11139;11055;10818;10961;11128;10173;10859;10495;10514;10797;10605;10942;10878;10874;10646;4564;10657;10092;10569;4580;10945;10868;11125;11163;10937;10844;10699;10947;11039,10859,10506.375,11163,31729283940,3000000,14491;17230;2719;3773,14491,9553.25,17230,14524496923,14587488166,20695135420,27573561435,25976298558,103356980502
6000000,300000,100,1.2,6300000,6000000,7633;5405;8751;5416;5731;6325;5914;5506;5456;5416;7649;7097;7012;5900;8387;5767;7606;6203;8343;4569;8324;5921;8391;5396;7685;7422;7605;7498;7507;7252;7076;8372;6015;5463;5568;4621;6554;2973;7105;7550;7786;5934;7852;4665;5062;5182;5421;5645;5094;5395;8189;7553;8154;4933;7463;5563;8370;6054;7577;5605;7314;4500;3874;5571;7584;8383;8300;7563;7659;3820;8275;7321;5453;6012;5643;5814;5273;2926;7588;7662,6325,6480.2,8751,5310;12256;6719;6724;6765;7471;6683;7075;8559;6945;6873;7181;7807;8358;6692;8099;6702;6787;5990;5714;8163;6761;7690;6759;6972;5326;8133;5516;6823;7256;5341;6745;8552;6994;5609;4900;8158;8297;6864;6916;7998;5631;5600;8073;7112;6716;8188;6824;8059;5596;7201;5713;6526;5248;5469;7610;6975;8345;8575;6958;7510;7208;8193;8425;5168;6866;5708;6445;6853;6899;7856;5582;6475;8118;5788;8021;9075;6785;7089;6772;5456;5389;7773;5438;6917;8300;5244;7512;7885;8441;5747;5359;6821;5807;6745;6996;7972;6989;8166;5611,6899,6963.06,12256,32691134651,6000000,11525;11822;11480;11726;11381;11091;11595;11374;11655;11509;11385;11243;11334;11294;11377;11042;11113;11300;11393;11372;11579;11228;10974;11303;11598;11538;11307;11554;11571;11664;5211;11688;11613;11754;5073;11449;11496;11201;11208;11521,11393,11113.525,11822,35670564848,6000000,18709;32094;2631;12469,18709,16475.75,32094,15537196414,16627748443,20520672757,30953795468,41166496939,124805910021
9000000,300000,100,1.2,9300000,9000000,7612;8052;7869;8594;7883;7859;7615;4264;6012;5469;5989;5700;6105;5935;7824;7739;9210;6623;9026;5400;5426;6315;4835;5619;4776;5426;4259;7745;8679;5455;7507;5134;8689;5511;8560;5517;8873;5571;7757;6610;8071;8607;8045;7684;8710;4317;7670;4334;5510;5641;4815;5839;5831;6171;7956;7988;7065;5395;8949;5108;5344;5308;5736;5449;5306;5335;7664;7429;8644;5987;7911;5110;6647;6012;6869;4815;8804;5601;8655;6156,6171,6644.15,9210,6697;6503;6612;6650;6750;6694;6411;6281;6585;6845;6514;14399;6540;6553;6722;7338;6548;8016;6974;6785;6743;6768;6406;6883;6629;6557;6678;6413;6491;6732;6438;6588;3105;6799;6432;6711;6262;6530;6855;7534;6529;8238;7138;6790;6817;6736;6341;7037;3258;6643;6617;6639;6495;3086;6715;6662;6586;6550;6334;6594;6417;6701;6118;6508;6455;7733;6548;8750;6909;6358;7186;6808;6541;6529;3251;6300;6601;6587;6504;6767;3095;6779;6400;6466;6413;6497;10123;6544;6669;6249;6351;6488;7767;6297;6726;6828;6530;7186;6483;6947,6594,6641.85,14399,35694466178,9000000,5442;12038;11674;12142;12137;12010;11774;12256;11464;11685;11678;12223;11912;11744;12114;12340;12773;12532;12257;12279;12458;12252;12547;12020;11808;11496;12161;11946;12274;5438;12251;12070;11712;11977;11716;12000;11717;11976;12124;12069,12038,11712.15,12773,38643282136,9000000,27294;51764;2588;4868,27294,21628.5,51764,14854051115,16679575615,19599773106,41565234820,60688422867,153387057523
12000000,300000,100,1.2,12300000,12000000,8975;5604;8750;6234;6251;6070;5142;5378;5244;4719;9167;9288;8459;5459;9189;5393;8700;4882;9234;5342;8633;4441;8528;5544;9147;7539;7652;7534;8340;7435;8883;8586;4849;5706;6181;3091;5906;5805;9000;9276;8398;4962;6010;5387;5240;5158;5502;5390;5565;5477;7456;9295;9319;5910;9198;5247;6992;5342;4713;5452;8569;5962;6921;5531;9197;8579;9104;4567;6761;9214;9158;9185;4999;5238;5488;5108;5160;5310;8370;7361,6181,6816.8875,9319,11683;6565;6259;6289;6060;6828;8182;6748;3540;7158;6232;7455;6653;7155;6442;7247;7158;7145;6933;6863;6480;6560;6518;6811;6493;17538;6589;6195;6733;7417;6861;8166;7252;3509;6966;6370;6436;7155;6620;7240;6726;6365;7234;7016;6527;6657;6576;7130;6698;6304;6426;6458;6978;7531;6609;8574;7459;3566;6849;7034;6461;7361;3590;6614;6533;6416;6620;6287;6808;6563;6282;6359;6526;7133;6578;6239;6560;6327;6978;7974;7074;9702;7231;6929;7519;7191;7157;7202;3565;6704;6669;6467;7053;6738;6554;7217;6093;6402;6816;6571,6704,6842.84,17538,39754575835,12000000,12156;12772;12604;12606;12731;12607;12055;12588;12879;5784;12543;12506;12581;12718;12710;12714;12215;12333;12678;12344;12384;12394;12486;12576;12563;6207;12766;12702;12424;12758;12384;12666;12755;12560;12651;12618;12795;12496;12328;12479,12581,12227.9,12879,38530325489,0,,-1,-1.0,-1,14523421271,16554116785,0,0,7503175602,38580713658
15000000,300000,100,1.2,15300000,15000000,5744;5650;5320;5012;8019;2908;8107;8315;5080;5684;9040;5077;9556;5572;6094;5018;5481;5439;7854;5696;9150;9043;2944;7932;5689;9545;5485;8563;5257;9509;5741;8068;5464;8098;4480;8049;8034;9280;8264;8159;7668;6348;5158;5671;5508;5347;4701;8159;7995;5435;5138;8911;5151;2945;6629;6336;5240;5618;7973;8333;7862;5526;9233;5149;9656;5230;8933;5559;8337;5326;9366;5737;9340;7999;9119;8283;9137;9159;9140;8410,6629,6902.3125,9656,6783;6939;6699;6931;7326;4067;6218;3916;7045;7043;7642;7285;10857;7274;8233;6691;6510;6797;6836;6719;7319;6576;6920;7112;6557;7307;6868;6868;6447;7004;7383;6813;7006;4061;7930;6988;7121;9736;7958;7213;6743;6828;6969;6850;6887;7231;6327;6764;6957;7070;6976;7016;6630;7089;7451;6780;7992;4003;7499;6703;9367;7821;6562;7072;6762;6992;20427;7071;6995;6559;6863;6829;7265;7096;7224;6709;6866;6937;7220;6876;3902;7569;7145;8204;6855;8830;7011;6870;7069;6902;6792;7174;12957;6805;6730;7002;7092;7235;6791;7234,6988,7174.45,20427,41638035437,15000000,13274;12728;12699;12595;12846;12874;12718;12828;12898;13051;12906;12509;5975;12768;12801;12553;13425;13454;13083;13002;6274;13006;13681;12969;13177;13243;13660;13090;13008;13110;12725;12885;12475;12524;12138;12750;12545;12926;12944;12881,12885,12574.95,13681,47583393189,15000000,46361;67886;6719;13048,46361,33503.5,67886,13517279510,16735309934,19473536521,45493073944,76629921843,171849121752
18000000,300000,100,1.2,18300000,18000000,5266;9424;9287;5127;8339;5656;6187;4867;10140;5230;9525;5288;8367;5860;8280;8999;8424;9439;8232;8854;9356;9269;5678;5859;5435;5246;7473;5268;9266;9271;5685;5364;10245;5411;10759;5181;5378;5757;5030;5130;5338;5762;9358;5258;5521;9332;5181;9600;5504;9901;6069;8411;5303;9452;4525;7460;9262;9169;8310;8085;9067;9256;9025;5368;6687;5763;5446;5950;5670;9153;7410;5216;5312;10195;6997;5755;5723;4916;4810;5523,6069,7086.1875,10759,10275;9098;12668;7375;10914;8658;8950;10765;10939;7764;10455;8924;9322;9216;11015;8889;10738;10898;6002;4899;10464;4821;9119;5022;9804;8969;9793;9203;11460;8897;10461;24532;10707;8062;10603;6236;10635;9511;7168;8821;10235;10096;11052;9753;10690;8858;4885;10069;5096;6707;4726;8995;10726;10577;8972;16058;11114;11086;8902;10428;8917;6838;3346;9147;7869;8073;10923;11068;8578;10626;9983;5003;7297;5800;9085;10653;8934;13135;10968;8717;11179;8201;10641;9047;11000;5257;7314;11032;9246;9089;9010;10728;10873;11378;10727;4930;7868;4905;9597;5109,9216,9231.68,24532,45686531932,18000000,13409;13692;13619;13550;13375;13195;13695;13311;13379;13490;13428;13790;13757;13913;13624;13288;13782;13525;13371;13347;13463;12939;13531;13304;13223;7523;14565;14454;6714;14010;14178;13685;14223;13866;14047;13677;13883;13938;13621;13912,13621,13332.4,14565,43497453396,18000000,30844;91126;2668;32780,32780,39354.5,91126,13664413166,17667448860,20416174949,54462777427,99705355095,205916169497
21000000,300000,100,1.2,21300000,21000000,9363;9355;7937;9448;9415;8658;9402;9369;2966;2947;5419;5449;5592;6973;9449;7880;11068;5095;11763;5395;5476;5587;5595;5720;5349;5176;5299;7904;9350;5105;8511;5629;9768;6342;9617;5719;8960;5640;8933;5830;7934;9467;7895;8519;9303;9653;9390;9130;5182;5618;6230;5341;5026;5403;9515;9508;10464;5480;6625;5498;4924;5754;5737;6034;6400;5488;9388;8466;9448;6608;9364;5396;8673;5540;9650;6023;9965;5810;9718;5801,6625,7297.7625,11763,6355;6751;6082;6182;4320;7702;7255;6914;7056;7297;7333;7489;6865;6936;6780;7180;9501;7359;12619;7998;7256;8276;7489;6454;7704;4454;6164;5887;6062;5934;7569;4282;7736;7049;7062;7146;4318;7470;15959;6922;6838;7239;6584;7186;9764;8344;4427;8795;6855;6724;7977;5318;5169;6334;6062;7459;7770;7117;7016;4303;7419;30113;7223;7167;6967;8787;7484;10313;7181;4378;7868;7912;6981;7349;7791;5643;5695;5301;6479;7475;7698;7182;7011;4384;7679;7427;6622;6853;7149;7778;8695;7252;11435;8242;6703;7198;7080;6671;7613;4459,7167,7351.05,30113,52493752641,21000000,14679;14908;7611;15025;15033;14910;14976;15009;14683;15146;15013;14473;14912;14537;14279;14475;16306;15338;8042;15213;15615;15444;16178;15023;15142;15160;15586;15060;15151;14828;15233;15405;14966;14577;15097;15004;15085;14816;14810;14801,15013,14688.725,16306,48987649378,21000000,30769;95503;26053;28937,30769,45315.5,95503,15828865104,18683769396,20516785913,56590961004,103956329688,215576711105
24000000,300000,100,1.2,24300000,24000000,11556;5349;8778;5240;5576;5134;5547;5153;5269;5540;9545;9575;10177;5268;9413;5871;8430;5446;10345;5273;11434;4767;10301;5116;9478;8166;8041;9261;9293;9868;5792;9426;5481;4756;5864;5809;6125;5535;9241;7995;11573;5507;8485;5317;5031;5139;4602;5687;5301;5238;10204;9540;8301;5309;10132;5444;5693;10282;5218;10467;10815;5517;10700;5813;8017;5701;9910;9548;5733;9409;10222;8110;5699;5567;6396;5278;5504;5597;10175;8031,5871,7355.575,11573,11590;7503;11016;6953;11999;10653;11926;12999;12544;8394;11945;9048;6757;9202;6622;8784;8849;9761;11805;11684;9297;7015;11657;7279;10352;9399;11679;9429;11580;6224;11738;9271;12162;13704;9695;10467;13275;9229;8833;9858;7719;7222;6783;8997;8504;9067;11759;9662;11784;7140;10700;8011;11074;17855;10348;5689;12027;6428;10925;11816;8944;7360;12968;5107;9142;9267;9529;7593;9113;9156;9688;10238;7618;11745;11719;9477;30054;11221;6773;11741;9058;12159;11524;11942;8517;9699;7634;11796;9573;8124;9436;7704;7623;7054;8822;9884;11674;4854;10818;7328,9529,9893.63,30054,51804638974,24000000,16236;16446;16669;16446;15378;15560;15226;15803;15516;15746;15694;15989;15834;15565;15668;15805;15346;15638;15885;15498;15476;15745;15604;15834;16097;7792;15914;15847;15214;16194;7666;15816;15355;15029;15838;15992;15362;15408;15386;15510,15694,15325.675,16669,50846830154,24000000,28060;7813;104831;65597,65597,51575.25,104831,14785384441,18487693277,19449122694,60559933379,112726658519,226008792310
27000000,300000,100,1.2,27300000,27000000,9871;9445;9856;10233;8213;9500;10463;9478;5998;5959;6367;6574;5872;5805;9894;9920;10721;6210;11267;6256;5926;5747;5701;5312;5841;5751;10488;10182;10418;5773;9974;2921;10722;2918;10654;5546;11071;7161;5770;10228;9766;8154;9834;9490;9910;9427;9556;9417;6031;6858;5683;6269;5542;6831;9622;9880;12026;5832;5639;10944;5650;6073;5421;7161;5765;6473;10320;9464;10348;5474;10361;2847;10119;2831;10585;5948;9590;5783;9196;5231,8154,7841.9625,12026,7191;7301;7346;7252;8069;7935;7224;7233;7469;7602;7115;7259;7444;7079;7629;10260;7050;12101;8862;7539;7564;7736;6848;7906;4100;7451;6949;7757;7298;3752;8994;7399;7032;7061;8238;7674;7168;7182;7332;7109;7524;10504;7789;15036;8239;7222;8813;7348;7141;7881;4160;6966;7506;6908;7503;3764;7656;8103;7001;6956;7009;7184;7336;18143;7076;7035;7697;6898;6892;10586;8338;4192;8994;7325;7495;7885;7560;6610;7550;7576;8064;7767;6899;6990;7324;7378;32494;7113;6945;7037;9093;7723;12055;7386;7068;8454;7586;7395;7048;8308,7395,7930.38,32494,54898180401,27000000,16255;16350;16316;16968;16345;16238;16534;16296;16412;16265;16214;16264;17269;16253;15926;15890;18356;17412;16657;16251;16611;16438;16756;8407;16575;8386;16604;15882;15849;16540;16581;16142;16940;16309;15990;16533;16250;16905;15751;16235,16316,16053.875,18356,52503002179,27000000,8190;2705;106121;104890,104890,55476.5,106121,14547131848,18592244579,19451304849,61561172847,114651762987,228803617110
30000000,300000,100,1.2,30300000,30000000,9799;8077;8372;8752;8346;5378;9839;5703;10415;8172;9995;7840;6385;7954;10208;6083;10121;5298;10469;5614;9892;5093;4450;5736;8669;5543;8630;4896;11287;5140;10604;7983;7953;7948;5561;8065;9685;6614;9859;6815;8776;8738;8981;7115;10364;4962;10100;5547;8839;5812;9922;6089;7806;5832;8598;5773;8773;5834;11125;6011;8531;8819;8143;8485;8020;6719;6502;10645;8442;9899;7056;10475;8029;10434;5814;10440;5143;10169;3839;10063;6330;10754;5927;8186;5321;4454;5880;8858;5101;11407;9787;8185;8586;4526;8301;5878;9784;5664;10440;8170;9796;8126;10376;8618;10582;5050;10844;5421;10784;6539;10026;4779;8563;5933;8569;5452;4703;6264;12340;5105,8170,7860.966666666666,12340,36740;7718;7364;7948;9769;8375;12439;7532;7422;9190;7764;7296;7149;8885;7557;6702;7099;7076;8091;8344;7271;7740;4170;8023;7653;8013;8000;7623;8017;10031;7645;13582;9157;8367;7915;8438;7471;8706;7558;7741;6920;7386;7747;4192;7392;7795;7312;6799;7822;8101;7666;7411;7047;6498;7673;11264;7741;15113;8661;7872;9697;8595;7316;8822;7483;7230;7806;6913;7982;4056;8267;8119;7989;7751;4217;7612;8007;20453;7649;7833;7733;6943;8049;11324;8727;8341;9854;7333;7894;8275;7432;6365;7891;7996;8220;8839;6619;7320;8089;4059,7795,8330.93,36740,60015652667,30000000,11190;10921;10714;11170;11060;11394;14947;11004;15316;10678;15655;15932;11518;10956;11198;11119;11132;11110;15391;15916;15421;15727;15169;15414;15419;14599;15095;11055;15642;10922;15398;5197;14952;11028;14783;5293;15131;11289;15223;15580;11148;11367;10969;11263;11099;10592;15266;11297;14365;11276;15976;15781;11232;11496;11168;11343;5351;11392;14942;15946;15299;15148;15694;14650;14942;15639;14755;11196;15143;11470;14887;11575;15289;11119;15297;5208;14705;11352;15548;14049,14049,12911.15,15976,51716305213,0,,-1,-1.0,-1,14743274270,18617015604,0,0,7627385818,40987675692
